"last_name, first_name",player_id,year,ab,pa,hit,single,double,triple,home_run,strikeout,walk,k_percent,bb_percent,avg,slg_percent,on_base_percent,on_base_plus_slg,woba,xwoba,sweet_spot_percent,barrel_batted_rate,hard_hit_percent,avg_best_speed,avg_hyper_speed,whiff_percent,swing_percent
"Bogaerts, Xander",593428,2022,557,631,171,118,38,0,15,118,57,18.7,9,0.307,0.456,0.377,0.833,0.363,0.323,30.3,6.5,39.5,99.97943964,94.08380455,24.8,45.7
"Santana, Carlos",467793,2022,431,506,87,50,18,0,19,88,71,17.4,14,0.202,0.376,0.316,0.692,0.308,0.352,31.6,9.3,44.9,100.993708488,94.851060233,21.3,42.6
"Alvarez, Yordan",670541,2022,470,561,144,76,29,2,37,106,78,18.9,13.9,0.306,0.613,0.406,1.019,0.427,0.462,40.7,21,59.8,105.676985081,98.195923324,23.4,42.7
"Arenado, Nolan",571448,2022,557,620,163,90,42,1,30,72,52,11.6,8.4,0.293,0.533,0.358,0.891,0.381,0.339,35.4,8.2,38.9,99.558566721,93.952810862,19.1,48.4
"Verdugo, Alex",657077,2022,593,644,166,115,39,1,11,86,42,13.4,6.5,0.28,0.405,0.328,0.733,0.319,0.329,37.8,6,38.2,99.112574241,93.706486823,15.5,45.3
"Flores, Wilmer",527038,2022,525,602,120,72,28,1,19,103,59,17.1,9.8,0.229,0.394,0.316,0.71,0.312,0.31,35.7,6.3,35.4,97.672013814,92.963528089,18.9,45.6
"Walker, Christian",572233,2022,583,667,141,78,25,2,36,131,69,19.6,10.3,0.242,0.477,0.327,0.804,0.346,0.359,33.3,11.5,44,101.466371179,95.00141326,24.6,44.7
"Frazier, Adam",624428,2022,541,602,129,100,22,4,3,73,46,12.1,7.6,0.238,0.311,0.301,0.612,0.274,0.297,37.7,1.5,24.5,95.048135872,91.524067936,14.4,48.7
"Santander, Anthony",623993,2022,574,647,138,81,24,0,33,122,55,18.9,8.5,0.24,0.455,0.318,0.773,0.336,0.352,33.5,11.6,43.3,101.330998114,94.979132939,21.5,47.7
"Riley, Austin",663586,2022,615,693,168,89,39,2,38,168,57,24.2,8.2,0.273,0.528,0.349,0.877,0.377,0.378,37.7,15.7,50.8,104.398300222,96.785171533,27.6,51.5
"Melendez Jr., MJ",669004,2022,460,534,100,58,21,3,18,131,66,24.5,12.4,0.217,0.393,0.313,0.706,0.31,0.332,31,10.4,43.5,100.595888323,94.716383713,27.8,44.6
"LeMahieu, DJ",518934,2022,467,541,122,92,18,0,12,71,67,13.1,12.4,0.261,0.377,0.357,0.734,0.329,0.344,32.8,5.3,41.1,99.499628485,94.048075494,15.7,39.5
"Hayes, Ke'Bryan",663647,2022,505,560,123,89,24,3,7,122,48,21.8,8.6,0.244,0.345,0.314,0.659,0.294,0.3,30.6,3.9,46.8,102.263213822,95.477046745,20.7,43.3
"Murphy, Sean",669221,2022,537,612,134,77,37,2,18,124,56,20.3,9.2,0.25,0.426,0.332,0.758,0.331,0.344,34.7,10.5,41.4,101.085158756,94.706891435,24,49.3
"Judge, Aaron",592450,2022,570,696,177,87,28,0,62,175,111,25.1,15.9,0.311,0.686,0.425,1.111,0.458,0.463,39,26.5,61.8,107.110072714,99.053359221,29.8,42.7
"Bellinger, Cody",641355,2022,504,550,106,57,27,3,19,150,38,27.3,6.9,0.21,0.389,0.265,0.654,0.284,0.278,34.4,8.3,38.1,98.149983833,93.243694234,27.2,49.9
"Guerrero Jr., Vladimir",665489,2022,638,706,175,108,35,0,32,116,58,16.4,8.2,0.274,0.48,0.339,0.819,0.351,0.351,27.9,11.2,50.4,105.507038582,97.328619789,24.4,49.7
