"last_name, first_name","player_id","year","player_age","p_game","p_formatted_ip","pa","ab","hit","single","double","triple","home_run","strikeout","walk","k_percent","bb_percent","batting_avg","slg_percent","on_base_percent","on_base_plus_slg","woba","xwoba","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","whiff_percent","swing_percent","pitch_hand"
"Ryan, Joe","657746","2022","26","27","147.0","604","546","115","65","28","2","20","151","47",25,7.8,".211",".379",".285","0.664",".294",".294",36.1,8.6,35.4,"77.492050718","93.601724154",25.6,51,"R"
"Ohtani, Shohei","660271","2022","27","28","166.0","660","610","124","85","23","2","14","219","44",33.2,6.7,".203",".316",".258","0.574",".255",".256",32,6.3,33.2,"76.028692589","93.179293104",33,49,"R"
"Bubic, Kris","663460","2022","24","28","129.0","587","510","156","107","30","1","18","110","63",18.7,10.7,".306",".475",".381","0.856",".371",".362",41,7.8,44.9,"78.945354653","94.901166658",21.3,47,"L"
"McKenzie, Triston","663474","2022","24","31","191.1","741","688","138","82","29","2","25","190","44",25.6,5.9,".201",".358",".253","0.611",".268",".293",37.3,9.8,40.6,"80.393226331","94.253239919",26.7,52.7,"R"
"McClanahan, Shane","663556","2022","25","28","166.1","640","597","116","81","16","0","19","194","37",30.3,5.8,".194",".317",".245","0.562",".248",".261",31.6,6.4,32.6,"76.838288308","93.270402693",34.3,49.5,"L"
"Lynch IV, Daniel","663738","2022","25","27","131.2","600","535","155","109","24","1","21","122","52",20.3,8.7,".290",".456",".355","0.811",".352",".345",33.7,8.8,47.7,"80.584255481","95.400197788",25.4,49.9,"L"
"Sandoval, Patrick","663776","2022","25","27","148.2","638","565","139","109","19","3","8","151","60",23.7,9.4,".246",".333",".322","0.655",".294",".307",31.6,5.7,34,"76.418262961","93.079175728",29.5,48.2,"L"
"Singer, Brady","663903","2022","25","27","153.1","621","569","140","102","19","1","18","150","35",24.2,5.6,".246",".378",".301","0.679",".300",".309",33.2,8.2,40.9,"78.537617019","94.198156795",22.9,44.3,"R"
"Brubaker, JT","664141","2022","28","28","144.0","646","580","157","99","39","2","17","147","54",22.8,8.4,".271",".433",".341","0.774",".339",".329",36.2,7.6,41.3,"78.589671843","94.550554573",27.3,46.4,"R"
"Valdez, Framber","664285","2022","28","31","201.1","827","745","166","129","24","2","11","194","67",23.5,8.1,".223",".305",".296","0.601",".272",".284",24,5.8,41.6,"78.817299816","94.706992647",25.6,47,"L"
"Javier, Cristian","664299","2022","25","30","148.2","585","524","89","53","18","1","17","194","52",33.2,8.9,".170",".305",".252","0.557",".251",".244",31.2,7.2,33.6,"78.619212378","93.183498502",30.4,49.2,"R"
"Urquidy, José","664353","2022","27","29","164.1","681","630","154","91","33","1","29","134","38",19.7,5.6,".244",".438",".292","0.730",".316",".329",34.7,9.4,40.8,"79.048289799","94.325262048",22.3,52,"R"
