"last_name, first_name","player_id","year","pa","bip","ba","est_ba","est_ba_minus_ba_diff","slg","est_slg","est_slg_minus_slg_diff","woba","est_woba","est_woba_minus_woba_diff","era","xera","era_minus_xera_diff"
"Walker, Ryan","676254","2024","255","150",0.191,0.206,-0.014999999999999986,0.278,0.316,-0.03799999999999998,0.244,0.264,-0.020000000000000018,"2.07","2.81","-0.744"
"Armstrong, Shawn","542888","2024","255","171",0.281,0.268,0.013000000000000012,0.437,0.45,-0.013000000000000012,0.34,0.341,-0.0010000000000000009,"5.02","4.86","0.163"
"Rodríguez, Yariel","684320","2024","254","158",0.227,0.234,-0.007000000000000006,0.391,0.384,0.007000000000000006,0.316,0.317,-0.0010000000000000009,"4.40","4.13","0.269"
"Kinley, Tyler","641755","2024","252","163",0.25,0.256,-0.006000000000000005,0.468,0.432,0.03600000000000003,0.343,0.334,0.009000000000000008,"5.88","4.64","1.236"
"Hjelle, Sean","663546","2024","251","183",0.252,0.251,0.0010000000000000009,0.399,0.395,0.0040000000000000036,0.291,0.289,0.0020000000000000018,"3.65","3.39","0.259"
"Montero, Keider","672456","2024","249","178",0.26,0.28,-0.020000000000000018,0.476,0.45,0.025999999999999968,0.345,0.345,0,"5.28","5.00","0.279"
"Musgrove, Joe","605397","2024","248","170",0.288,0.283,0.0050000000000000044,0.484,0.476,0.008000000000000007,0.367,0.365,0.0020000000000000018,"4.97","5.70","-0.734"
"Schmidt, Clarke","657376","2024","247","154",0.224,0.231,-0.007000000000000006,0.356,0.37,-0.014000000000000012,0.293,0.304,-0.01100000000000001,"2.52","3.77","-1.248"
"Faedo, Alex","656412","2024","246","160",0.233,0.251,-0.017999999999999988,0.405,0.383,0.02200000000000002,0.322,0.322,0,"3.61","4.28","-0.67"
"Winckowski, Josh","670174","2024","245","182",0.262,0.273,-0.01100000000000001,0.407,0.441,-0.03400000000000003,0.319,0.34,-0.02100000000000002,"3.72","4.83","-1.111"
"Banks, Tanner","621383","2024","244","161",0.251,0.237,0.014000000000000012,0.388,0.364,0.02400000000000002,0.3,0.293,0.007000000000000006,"4.06","3.49","0.568"
"Mears, Nick","683232","2024","243","148",0.263,0.214,0.049000000000000016,0.406,0.358,0.04800000000000004,0.316,0.278,0.03799999999999998,"5.37","3.12","2.247"
"Beeks, Jalen","656222","2024","243","175",0.253,0.231,0.021999999999999992,0.373,0.384,-0.01100000000000001,0.304,0.297,0.007000000000000006,"4.26","3.59","0.673"
"Ross, Joe","605452","2024","241","172",0.256,0.258,-0.0020000000000000018,0.372,0.41,-0.03799999999999998,0.303,0.323,-0.020000000000000018,"4.42","4.31","0.108"
"Farmer, Buck","571656","2024","241","159",0.207,0.235,-0.027999999999999997,0.361,0.404,-0.04300000000000004,0.287,0.315,-0.028000000000000025,"2.67","4.08","-1.411"
"Scott, Tayler","605463","2024","240","147",0.166,0.202,-0.036000000000000004,0.278,0.286,-0.007999999999999952,0.25,0.27,-0.020000000000000018,"1.95","2.94","-0.99"
"Floro, Dylan","571670","2024","240","184",0.238,0.249,-0.01100000000000001,0.296,0.344,-0.04799999999999999,0.257,0.283,-0.025999999999999968,"2.67","3.24","-0.57"
"Shuster, Jared","694363","2024","240","181",0.267,0.299,-0.03199999999999997,0.414,0.474,-0.06,0.33,0.364,-0.033999999999999975,"4.31","5.66","-1.353"
"Thornton, Trent","663423","2024","239","161",0.264,0.249,0.015000000000000013,0.458,0.392,0.066,0.334,0.308,0.026000000000000023,"4.37","3.88","0.49"
"Winn, Keaton","676775","2024","238","165",0.268,0.276,-0.008000000000000007,0.493,0.492,0.0010000000000000009,0.353,0.362,-0.009000000000000008,"7.16","5.59","1.567"
