"last_name, first_name","player_id","year","player_age","ab","pa","hit","single","double","triple","home_run","strikeout","walk","k_percent","bb_percent","batting_avg","slg_percent","on_base_percent","on_base_plus_slg","woba","xwoba","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","whiff_percent","swing_percent"
"Grisham, Trent","663757","2023","26","469","555","93","48","31","1","13","154","75",27.7,13.5,".198",".352",".315","0.667",".299",".322",32.8,11.9,40,"100.701927386","94.880503967",28.3,41.6
"Hoerner, Nico","663538","2023","26","619","688","175","135","27","4","9","83","49",12.1,7.1,".283",".383",".346","0.729",".322",".311",33.2,1.8,33.4,"97.320472852","92.695131651",12.4,45.6
"Rodríguez, Julio","677594","2023","22","654","714","180","109","37","2","32","175","47",24.5,6.6,".275",".485",".333","0.818",".347",".345",31.8,11.9,52,"104.082287708","96.812366417",28.2,53.9
"Springer III, George","543807","2023","33","613","683","158","111","25","1","21","125","60",18.3,8.8,".258",".405",".327","0.732",".320",".332",32.2,7.7,39.9,"100.34851102","94.297792755",22.3,49.3
"LeMahieu, DJ","518934","2023","34","497","562","121","81","22","3","15","125","60",22.2,10.7,".243",".390",".327","0.717",".315",".322",31.6,5.9,43,"100.265359786","94.32212244",19.7,39.2
"Raleigh, Cal","663728","2023","26","513","569","119","65","23","1","30","158","54",27.8,9.5,".232",".456",".306","0.762",".326",".330",36.5,12.6,41,"101.028271404","94.749354873",29.9,49.7
"Smith, Will","669257","2023","28","464","554","121","79","21","2","19","89","63",16.1,11.4,".261",".438",".359","0.797",".345",".350",37.5,6.7,41.6,"99.645654456","94.001340492",19.5,45.7
"Santander, Anthony","623993","2023","28","591","656","152","82","41","1","28","152","55",23.2,8.4,".257",".472",".325","0.797",".340",".319",33,10.2,46,"101.732013378","95.319994041",23.5,49
"Hernández, Teoscar","606192","2023","30","625","678","161","104","29","2","26","211","38",31.1,5.6,".258",".435",".305","0.740",".317",".336",35.2,13.8,49.4,"103.014681476","96.109592578",35.8,53.6
"Acuña Jr., Ronald","660670","2023","25","643","735","217","137","35","4","41","84","80",11.4,10.9,".337",".596",".416","1.012",".428",".460",33.6,15.3,55.2,"106.368689571","98.157029125",18.7,46.2
"Merrifield, Whit","593160","2023","34","547","592","149","111","27","0","11","101","36",17.1,6.1,".272",".382",".318","0.700",".304",".276",37.2,2.4,24.3,"94.880835796","91.453019024",19.5,51.1
"Walker, Christian","572233","2023","32","582","661","150","79","36","2","33","127","62",19.2,9.4,".258",".497",".333","0.830",".351",".339",32.6,11.4,40.4,"100.601281422","94.397470475",26.4,48.6
"Davis, J.D.","605204","2023","30","480","546","119","77","23","1","18","152","52",27.8,9.5,".248",".412",".325","0.737",".321",".323",33.5,9.6,45.2,"101.437064311","95.258851108",34,53.1
"Bellinger, Cody","641355","2023","27","499","556","153","97","29","1","26","87","40",15.6,7.2,".307",".525",".356","0.881",".370",".327",38,6.1,31.4,"97.661544057","92.874372388",20.1,49.9
"Casas, Triston","671213","2023","23","429","502","113","66","21","2","24","126","70",25.1,13.9,".263",".490",".367","0.857",".367",".370",36.1,13.1,46.6,"102.616692288","95.686960262",28.1,43.6
"Realmuto, J.T.","592663","2023","32","489","540","123","70","28","5","20","138","35",25.6,6.5,".252",".452",".310","0.762",".324",".334",36.2,11.2,43.3,"101.30139764","94.961935393",26.2,50.5
"Abreu, José","547989","2023","36","540","594","128","86","23","1","18","130","42",21.9,7.1,".237",".383",".296","0.679",".295",".314",32.5,8.7,41.6,"100.821833606","94.59770588",26.4,50.1
"Cronenworth, Jake","630105","2023","29","458","522","105","64","24","7","10","97","46",18.6,8.8,".229",".378",".312","0.690",".301",".305",35.7,4.4,33.2,"97.73147257","92.917093417",15.9,47.6
"Marte, Ketel","606466","2023","29","569","650","157","97","26","9","25","109","71",16.8,10.9,".276",".485",".358","0.843",".361",".342",30.8,8,42.8,"101.585403319","95.10445528",20.5,45.5
"Rosario, Eddie","592696","2023","31","478","516","122","74","24","3","21","122","34",23.6,6.6,".255",".450",".305","0.755",".322",".317",35.9,9.5,35.4,"98.60055257","93.424315434",29.7,57.4
"Bogaerts, Xander","593428","2023","30","596","665","170","118","31","2","19","110","56",16.5,8.4,".285",".440",".350","0.790",".343",".318",28.3,6.1,34.6,"98.476149796","93.284202061",20.4,42.6
"Drury, Brandon","592273","2023","30","485","523","127","68","30","3","26","136","25",26,4.8,".262",".497",".306","0.803",".339",".318",35,11,46.3,"101.80875267","95.132794574",30.2,51.6
"McMahon, Ryan","641857","2023","28","555","627","133","76","31","3","23","198","68",31.6,10.8,".240",".431",".322","0.753",".325",".335",39.4,11.4,44.2,"102.017798324","95.343043101",32.2,47.4
