"last_name, first_name","player_id","year","pa","bip","ba","est_ba","est_ba_minus_ba_diff","slg","est_slg","est_slg_minus_slg_diff","woba","est_woba","est_woba_minus_woba_diff"
"Singleton, Jon","572138","2024","334","203",0.234,0.224,0.010000000000000009,0.369,0.359,0.010000000000000009,0.303,0.295,0.008000000000000007
"Urshela, Gio","570482","2024","333","262",0.244,0.266,-0.02200000000000002,0.332,0.387,-0.05499999999999999,0.272,0.305,-0.032999999999999974
"Bogaerts, Xander","593428","2024","331","253",0.273,0.271,0.0020000000000000018,0.377,0.392,-0.015000000000000013,0.304,0.313,-0.009000000000000008
"Bichette, Bo","666182","2024","330","245",0.223,0.26,-0.037000000000000005,0.321,0.383,-0.062,0.263,0.306,-0.04299999999999998
"Dubón, Mauricio","643289","2024","330","272",0.252,0.249,0.0030000000000000027,0.362,0.336,0.025999999999999968,0.28,0.275,0.0050000000000000044
"Díaz, Elias","553869","2024","327","242",0.27,0.236,0.03400000000000003,0.378,0.33,0.04799999999999999,0.302,0.27,0.03199999999999997
"Isbel, Kyle","664728","2024","327","244",0.236,0.247,-0.01100000000000001,0.384,0.358,0.026000000000000023,0.293,0.29,0.0030000000000000027
"Triolo, Jared","669707","2024","325","206",0.2,0.223,-0.022999999999999993,0.291,0.329,-0.038000000000000034,0.262,0.288,-0.025999999999999968
"Clement, Ernie","676391","2024","321","285",0.271,0.267,0.0040000000000000036,0.428,0.392,0.035999999999999976,0.309,0.294,0.015000000000000013
"Rosario, Eddie","592696","2024","319","226",0.175,0.212,-0.037000000000000005,0.316,0.345,-0.02899999999999997,0.23,0.259,-0.028999999999999998
"Hernández, Enrique","571771","2024","319","227",0.21,0.218,-0.008000000000000007,0.328,0.338,-0.010000000000000009,0.265,0.275,-0.010000000000000009
"Lee, Korey","686676","2024","319","207",0.216,0.221,-0.0050000000000000044,0.359,0.366,-0.007000000000000006,0.263,0.268,-0.0050000000000000044
"Perkins, Blake","663368","2024","318","206",0.257,0.226,0.031,0.363,0.327,0.035999999999999976,0.308,0.283,0.025000000000000022
"Duvall, Adam","594807","2024","318","196",0.177,0.202,-0.025000000000000022,0.314,0.396,-0.08200000000000002,0.245,0.285,-0.03999999999999998
"Correa, Carlos","621043","2024","317","230",0.308,0.284,0.02400000000000002,0.52,0.474,0.04600000000000004,0.381,0.362,0.019000000000000017
"Yelich, Christian","592885","2024","315","214",0.315,0.298,0.017000000000000015,0.504,0.481,0.02300000000000002,0.391,0.376,0.015000000000000013
"Moreno, Gabriel","672515","2024","314","233",0.262,0.26,0.0020000000000000018,0.385,0.401,-0.016000000000000014,0.321,0.327,-0.006000000000000005
"Vientos, Mark","668901","2024","314","205",0.28,0.258,0.02200000000000002,0.556,0.493,0.06300000000000006,0.378,0.347,0.031000000000000028
"Realmuto, J.T.","592663","2024","313","212",0.252,0.266,-0.014000000000000012,0.381,0.437,-0.055999999999999994,0.304,0.33,-0.026000000000000023
"Toglia, Michael","669911","2024","313","181",0.217,0.245,-0.027999999999999997,0.489,0.526,-0.03700000000000003,0.334,0.359,-0.024999999999999967
"Meneses, Joey","608841","2024","313","224",0.231,0.224,0.007000000000000006,0.302,0.331,-0.029000000000000026,0.264,0.276,-0.01200000000000001
"Yoshida, Masataka","807799","2024","312","237",0.297,0.261,0.035999999999999976,0.442,0.411,0.031000000000000028,0.357,0.333,0.023999999999999966
"Butler, Lawrence","671732","2024","312","204",0.238,0.253,-0.015000000000000013,0.448,0.473,-0.024999999999999967,0.321,0.341,-0.020000000000000018
"Harris II, Michael","671739","2024","311","223",0.247,0.268,-0.02100000000000002,0.357,0.401,-0.04400000000000004,0.284,0.312,-0.028000000000000025
"Andujar, Miguel","609280","2024","307","250",0.283,0.261,0.021999999999999964,0.379,0.343,0.035999999999999976,0.306,0.283,0.02300000000000002
"Tauchman, Mike","643565","2024","306","206",0.245,0.242,0.0030000000000000027,0.366,0.381,-0.015000000000000013,0.318,0.322,-0.0040000000000000036
"Lowe, Brandon","664040","2024","305","193",0.244,0.262,-0.018000000000000016,0.493,0.535,-0.04200000000000004,0.35,0.371,-0.02100000000000002
"Wells, Austin","669224","2024","304","204",0.254,0.262,-0.008000000000000007,0.419,0.455,-0.03600000000000003,0.333,0.354,-0.020999999999999963
"Rengifo, Luis","650859","2024","304","240",0.3,0.261,0.03899999999999998,0.417,0.353,0.064,0.335,0.293,0.04200000000000004
"Larnach, Trevor","663616","2024","301","209",0.253,0.27,-0.017000000000000015,0.435,0.486,-0.05099999999999999,0.331,0.355,-0.023999999999999966
"Naylor, Bo","666310","2024","301","182",0.204,0.197,0.0069999999999999785,0.353,0.326,0.02699999999999997,0.268,0.256,0.01200000000000001
"Palacios, Richie","680700","2024","301","188",0.233,0.253,-0.01999999999999999,0.332,0.35,-0.01799999999999996,0.309,0.325,-0.016000000000000014
"Hamilton, David","666152","2024","299","200",0.256,0.24,0.016000000000000014,0.412,0.363,0.04899999999999999,0.315,0.29,0.025000000000000022
"Rojas, Johan","679032","2024","298","226",0.245,0.238,0.007000000000000006,0.309,0.312,-0.0030000000000000027,0.263,0.262,0.0010000000000000009
"Jiménez, Eloy","650391","2024","298","220",0.253,0.253,0,0.354,0.396,-0.04200000000000004,0.288,0.303,-0.015000000000000013
"Fraley, Jake","641584","2024","297","215",0.271,0.241,0.030000000000000027,0.366,0.314,0.05199999999999999,0.304,0.278,0.025999999999999968
"Robert Jr., Luis","673357","2024","297","167",0.218,0.214,0.0040000000000000036,0.418,0.409,0.009000000000000008,0.298,0.292,0.006000000000000005
"Wade Jr., LaMonte","664774","2024","296","177",0.276,0.271,0.0050000000000000044,0.377,0.428,-0.05099999999999999,0.349,0.365,-0.016000000000000014
"Lopez, Otto","672640","2024","294","225",0.241,0.264,-0.02300000000000002,0.325,0.386,-0.061,0.265,0.3,-0.034999999999999976
"Rizzo, Anthony","519203","2024","291","218",0.223,0.234,-0.01100000000000001,0.341,0.342,-0.0010000000000000009,0.28,0.289,-0.008999999999999952
"Margot, Manuel","622534","2024","290","225",0.242,0.269,-0.027000000000000024,0.34,0.397,-0.056999999999999995,0.28,0.318,-0.03799999999999998
"Cabrera, Oswaldo","665828","2024","288","217",0.248,0.25,-0.0020000000000000018,0.372,0.344,0.028000000000000025,0.29,0.285,0.0050000000000000044
"Rosario, Amed","642708","2024","287","226",0.305,0.263,0.04199999999999998,0.415,0.369,0.045999999999999985,0.324,0.288,0.03600000000000003
"Báez, Javier","595879","2024","286","203",0.182,0.225,-0.04300000000000001,0.294,0.352,-0.057999999999999996,0.223,0.266,-0.04300000000000001
"Brown, Seth","664913","2024","285","178",0.221,0.229,-0.008000000000000007,0.369,0.391,-0.02200000000000002,0.285,0.296,-0.01100000000000001
"Brennan, Will","686823","2024","283","228",0.247,0.261,-0.014000000000000012,0.384,0.382,0.0020000000000000018,0.295,0.301,-0.006000000000000005
"Fermin, Freddy","666023","2024","283","214",0.301,0.245,0.055999999999999994,0.421,0.354,0.067,0.336,0.289,0.04700000000000004
"Smith, Dominic","642086","2024","278","184",0.237,0.224,0.012999999999999984,0.39,0.384,0.006000000000000005,0.311,0.303,0.008000000000000007
"Suwinski, Jack","669261","2024","277","170",0.182,0.223,-0.04100000000000001,0.324,0.369,-0.044999999999999984,0.259,0.295,-0.035999999999999976
"Nootbaar, Lars","663457","2024","277","186",0.232,0.265,-0.033,0.382,0.459,-0.07700000000000001,0.311,0.351,-0.03999999999999998
"Marte, Starling","516782","2024","277","197",0.278,0.301,-0.022999999999999965,0.412,0.454,-0.04200000000000004,0.322,0.348,-0.025999999999999968
"Taylor, Tyrone","621438","2024","276","197",0.237,0.253,-0.016000000000000014,0.389,0.398,-0.009000000000000008,0.292,0.303,-0.01100000000000001
"Newman, Kevin","621028","2024","276","221",0.275,0.255,0.020000000000000018,0.373,0.322,0.05099999999999999,0.295,0.268,0.02699999999999997
"Gordon, Nick","624503","2024","275","196",0.227,0.222,0.0050000000000000044,0.369,0.36,0.009000000000000008,0.271,0.267,0.0040000000000000036
"Espinal, Santiago","669289","2024","274","224",0.253,0.264,-0.01100000000000001,0.382,0.354,0.028000000000000025,0.293,0.291,0.0020000000000000018
"Taylor, Michael A.","572191","2024","273","158",0.197,0.213,-0.015999999999999986,0.287,0.339,-0.052000000000000046,0.242,0.275,-0.03300000000000003
"Kirk, Alejandro","672386","2024","273","206",0.239,0.261,-0.02200000000000002,0.333,0.41,-0.07699999999999996,0.286,0.339,-0.05300000000000005
"Campusano, Luis","669134","2024","271","218",0.235,0.248,-0.013000000000000012,0.38,0.362,0.018000000000000016,0.286,0.287,-0.0010000000000000009
"Amaya, Miguel","665804","2024","271","199",0.212,0.244,-0.032,0.314,0.358,-0.043999999999999984,0.259,0.29,-0.030999999999999972
"Bauers, Jake","641343","2024","271","145",0.203,0.218,-0.014999999999999986,0.386,0.423,-0.03699999999999998,0.305,0.323,-0.018000000000000016
"Crow-Armstrong, Pete","691718","2024","270","196",0.21,0.223,-0.013000000000000012,0.351,0.355,-0.0040000000000000036,0.261,0.271,-0.010000000000000009
"Jansen, Danny","643376","2024","269","186",0.219,0.213,0.006000000000000005,0.378,0.364,0.014000000000000012,0.305,0.299,0.006000000000000005
"Cave, Jake","595909","2024","269","181",0.251,0.243,0.008000000000000007,0.394,0.369,0.025000000000000022,0.296,0.284,0.01200000000000001
"Refsnyder, Rob","608701","2024","268","171",0.294,0.266,0.02799999999999997,0.468,0.427,0.041000000000000036,0.364,0.338,0.025999999999999968
"Gonzales, Nick","693304","2024","267","196",0.258,0.259,-0.0010000000000000009,0.387,0.405,-0.018000000000000016,0.293,0.308,-0.015000000000000013
