"last_name, first_name","player_id","year","pa","bip","ba","est_ba","est_ba_minus_ba_diff","slg","est_slg","est_slg_minus_slg_diff","woba","est_woba","est_woba_minus_woba_diff"
"Rutschman, Adley","668939","2024","504","378",0.262,0.269,-0.007000000000000006,0.421,0.428,-0.007000000000000006,0.322,0.331,-0.009000000000000008
"Happ, Ian","664023","2024","502","296",0.23,0.238,-0.00799999999999998,0.449,0.459,-0.010000000000000009,0.341,0.349,-0.007999999999999952
"Marte, Ketel","606466","2024","500","356",0.298,0.299,-0.0010000000000000009,0.56,0.541,0.019000000000000017,0.389,0.39,-0.0010000000000000009
"Morel, Christopher","666624","2024","499","306",0.191,0.229,-0.038000000000000006,0.353,0.423,-0.07,0.287,0.33,-0.04300000000000004
"Suárez, Eugenio","553993","2024","498","310",0.227,0.235,-0.00799999999999998,0.411,0.412,-0.0010000000000000009,0.309,0.315,-0.006000000000000005
"Arenado, Nolan","571448","2024","498","390",0.272,0.255,0.017000000000000015,0.406,0.366,0.040000000000000036,0.32,0.3,0.020000000000000018
"Machado, Manny","592518","2024","498","365",0.268,0.269,-0.0010000000000000009,0.449,0.444,0.0050000000000000044,0.328,0.329,-0.0010000000000000009
"Doyle, Brenton","686668","2024","497","325",0.271,0.26,0.01100000000000001,0.471,0.452,0.01899999999999996,0.343,0.338,0.0050000000000000044
"Devers, Rafael","646240","2024","497","321",0.294,0.282,0.01200000000000001,0.579,0.553,0.025999999999999912,0.393,0.379,0.014000000000000012
"India, Jonathan","663697","2024","495","323",0.253,0.277,-0.02400000000000002,0.401,0.427,-0.025999999999999968,0.335,0.356,-0.020999999999999963
"Springer, George","543807","2024","494","347",0.223,0.257,-0.034,0.387,0.43,-0.04299999999999998,0.304,0.334,-0.030000000000000027
"Seager, Corey","608369","2024","493","352",0.271,0.295,-0.023999999999999966,0.5,0.576,-0.07599999999999996,0.359,0.398,-0.039000000000000035
"Naylor, Josh","647304","2024","493","356",0.24,0.255,-0.015000000000000013,0.469,0.447,0.021999999999999964,0.335,0.333,0.0020000000000000018
"Schanuel, Nolan","694384","2024","493","346",0.251,0.264,-0.013000000000000012,0.375,0.377,-0.0020000000000000018,0.322,0.33,-0.008000000000000007
"Chisholm Jr., Jazz","665862","2024","491","321",0.257,0.239,0.018000000000000016,0.445,0.43,0.015000000000000013,0.332,0.318,0.014000000000000012
"Giménez, Andrés","665926","2024","489","384",0.253,0.266,-0.013000000000000012,0.331,0.36,-0.02899999999999997,0.281,0.3,-0.01899999999999996
"Gurriel Jr., Lourdes","666971","2024","487","367",0.274,0.265,0.009000000000000008,0.418,0.422,-0.0040000000000000036,0.316,0.314,0.0020000000000000018
"Turang, Brice","668930","2024","485","358",0.257,0.263,-0.006000000000000005,0.363,0.354,0.009000000000000008,0.302,0.303,-0.0010000000000000009
"Vaughn, Andrew","683734","2024","485","341",0.24,0.248,-0.008000000000000007,0.396,0.458,-0.062,0.3,0.327,-0.027000000000000024
"Harper, Bryce","547180","2024","484","318",0.273,0.268,0.0050000000000000044,0.523,0.492,0.031000000000000028,0.373,0.361,0.01200000000000001
"Winn, Masyn","691026","2024","484","370",0.277,0.266,0.01100000000000001,0.419,0.371,0.04799999999999999,0.322,0.302,0.020000000000000018
"Mountcastle, Ryan","663624","2024","482","349",0.265,0.276,-0.01100000000000001,0.423,0.459,-0.03600000000000003,0.314,0.337,-0.02300000000000002
"Raleigh, Cal","663728","2024","480","283",0.212,0.233,-0.02100000000000002,0.436,0.497,-0.061,0.317,0.348,-0.030999999999999972
"Diaz, Yainer","673237","2024","476","381",0.304,0.307,-0.0030000000000000027,0.464,0.483,-0.01899999999999996,0.339,0.35,-0.010999999999999954
"Rafaela, Ceddanne","678882","2024","473","337",0.264,0.242,0.02200000000000002,0.412,0.384,0.02799999999999997,0.304,0.285,0.019000000000000017
"Neto, Zach","687263","2024","472","321",0.261,0.246,0.015000000000000013,0.464,0.446,0.018000000000000016,0.342,0.33,0.01200000000000001
"Kim, Ha-Seong","673490","2024","470","333",0.233,0.249,-0.015999999999999986,0.37,0.36,0.010000000000000009,0.308,0.316,-0.008000000000000007
"Riley, Austin","663586","2024","469","309",0.256,0.272,-0.016000000000000014,0.461,0.517,-0.055999999999999994,0.338,0.366,-0.02799999999999997
"Smith, Josh","669701","2024","467","317",0.266,0.237,0.029000000000000026,0.416,0.348,0.068,0.34,0.305,0.03500000000000003
"Merrill, Jackson","701538","2024","466","361",0.291,0.298,-0.007000000000000006,0.491,0.522,-0.031000000000000028,0.345,0.361,-0.016000000000000014
"Santana, Carlos","467793","2024","466","332",0.239,0.245,-0.006000000000000005,0.427,0.42,0.007000000000000006,0.327,0.327,0
"Candelario, Jeimer","600869","2024","463","316",0.225,0.223,0.0020000000000000018,0.429,0.374,0.05499999999999999,0.303,0.284,0.019000000000000017
"Arcia, Orlando","606115","2024","463","339",0.226,0.214,0.01200000000000001,0.355,0.339,0.01599999999999996,0.274,0.266,0.008000000000000007
"Cruz, Oneil","665833","2024","463","278",0.262,0.266,-0.0040000000000000036,0.468,0.486,-0.01799999999999996,0.336,0.343,-0.007000000000000006
"Walker, Christian","572233","2024","461","293",0.254,0.249,0.0050000000000000044,0.476,0.482,-0.006000000000000005,0.347,0.361,-0.014000000000000012
"Burleson, Alec","676475","2024","458","374",0.276,0.284,-0.007999999999999952,0.46,0.468,-0.008000000000000007,0.329,0.337,-0.008000000000000007
"Rooker, Brent","667670","2024","457","272",0.286,0.277,0.008999999999999952,0.563,0.599,-0.03600000000000003,0.391,0.398,-0.007000000000000006
"Rodríguez, Julio","677594","2024","451","298",0.26,0.274,-0.014000000000000012,0.364,0.448,-0.08400000000000002,0.298,0.334,-0.03600000000000003
"Soler, Jorge","624585","2024","449","279",0.243,0.248,-0.0050000000000000044,0.437,0.449,-0.01200000000000001,0.338,0.346,-0.007999999999999952
"Swanson, Dansby","621020","2024","448","294",0.228,0.25,-0.021999999999999992,0.356,0.425,-0.069,0.287,0.324,-0.03700000000000003
"Varsho, Daulton","662139","2024","446","282",0.212,0.184,0.027999999999999997,0.407,0.308,0.09899999999999998,0.306,0.26,0.045999999999999985
"Smith, Will","669257","2024","444","305",0.246,0.237,0.009000000000000008,0.433,0.437,-0.0040000000000000036,0.325,0.327,-0.0020000000000000018
"Busch, Michael","683737","2024","442","253",0.256,0.224,0.032,0.451,0.437,0.014000000000000012,0.344,0.326,0.01799999999999996
"Stott, Bryson","681082","2024","442","326",0.234,0.257,-0.022999999999999993,0.35,0.379,-0.029000000000000026,0.291,0.313,-0.02200000000000002
"Kwan, Steven","680757","2024","440","363",0.311,0.295,0.016000000000000014,0.459,0.404,0.05499999999999999,0.362,0.335,0.02699999999999997
"Vierling, Matt","663837","2024","440","320",0.253,0.26,-0.007000000000000006,0.431,0.417,0.014000000000000012,0.31,0.31,0
"Greene, Riley","682985","2024","440","270",0.261,0.251,0.010000000000000009,0.483,0.487,-0.0040000000000000036,0.359,0.355,0.0040000000000000036
"Burger, Jake","669394","2024","437","288",0.249,0.249,0,0.478,0.486,-0.008000000000000007,0.333,0.337,-0.0040000000000000036
"McCutchen, Andrew","457705","2024","437","265",0.235,0.237,-0.0020000000000000018,0.405,0.443,-0.03799999999999998,0.327,0.34,-0.013000000000000012
"Suzuki, Seiya","673548","2024","435","271",0.264,0.248,0.016000000000000014,0.463,0.45,0.013000000000000012,0.343,0.334,0.009000000000000008
"Keith, Colt","690993","2024","434","326",0.256,0.276,-0.020000000000000018,0.385,0.417,-0.03199999999999997,0.302,0.322,-0.020000000000000018
"Winker, Jesse","608385","2024","433","276",0.262,0.245,0.017000000000000015,0.414,0.384,0.02999999999999997,0.344,0.327,0.01699999999999996
"Cowser, Colton","681297","2024","431","260",0.248,0.243,0.0050000000000000044,0.449,0.467,-0.018000000000000016,0.333,0.341,-0.008000000000000007
"Rodgers, Brendan","663898","2024","431","309",0.279,0.264,0.015000000000000013,0.419,0.395,0.023999999999999966,0.323,0.308,0.015000000000000013
"McNeil, Jeff","643446","2024","430","335",0.236,0.239,-0.0030000000000000027,0.39,0.343,0.046999999999999986,0.301,0.288,0.013000000000000012
"Lowe, Nathaniel","663993","2024","429","279",0.249,0.245,0.0040000000000000036,0.368,0.361,0.007000000000000006,0.318,0.316,0.0020000000000000018
"Taveras, Leody","665750","2024","429","309",0.229,0.251,-0.021999999999999992,0.35,0.388,-0.038000000000000034,0.279,0.305,-0.025999999999999968
"García Jr., Luis","671277","2024","428","339",0.294,0.294,0,0.464,0.48,-0.01599999999999996,0.34,0.347,-0.006999999999999951
"Frelick, Sal","686217","2024","425","314",0.263,0.247,0.016000000000000014,0.337,0.307,0.030000000000000027,0.301,0.285,0.016000000000000014
"O'Hoppe, Logan","681351","2024","424","274",0.255,0.269,-0.014000000000000012,0.428,0.481,-0.05299999999999999,0.323,0.347,-0.023999999999999966
"Canha, Mark","592192","2024","423","277",0.242,0.215,0.026999999999999996,0.353,0.315,0.03799999999999998,0.311,0.291,0.020000000000000018
"Chourio, Jackson","694192","2024","421","305",0.274,0.285,-0.010999999999999954,0.442,0.429,0.013000000000000012,0.328,0.328,0
"Bellinger, Cody","641355","2024","420","317",0.273,0.238,0.03500000000000003,0.425,0.383,0.04199999999999998,0.324,0.295,0.029000000000000026
"Westburg, Jordan","676059","2024","420","302",0.269,0.286,-0.01699999999999996,0.497,0.509,-0.01200000000000001,0.348,0.361,-0.013000000000000012
"Langford, Wyatt","694671","2024","416","291",0.243,0.251,-0.008000000000000007,0.366,0.403,-0.03700000000000003,0.296,0.315,-0.019000000000000017
"Sánchez, Jesús","660821","2024","413","275",0.239,0.266,-0.027000000000000024,0.412,0.491,-0.07900000000000001,0.305,0.345,-0.03999999999999998
"Turner, Justin","457759","2024","412","286",0.247,0.249,-0.0020000000000000018,0.357,0.373,-0.016000000000000014,0.314,0.323,-0.009000000000000008
"Langeliers, Shea","669127","2024","411","264",0.227,0.244,-0.016999999999999987,0.457,0.476,-0.01899999999999996,0.32,0.336,-0.016000000000000014
"DeJong, Paul","657557","2024","410","256",0.235,0.229,0.005999999999999978,0.443,0.418,0.025000000000000022,0.312,0.301,0.01100000000000001
"Young, Jacob","696285","2024","410","296",0.248,0.26,-0.01200000000000001,0.319,0.326,-0.007000000000000006,0.281,0.29,-0.008999999999999952
"Meyers, Jake","676694","2024","410","279",0.229,0.256,-0.026999999999999996,0.385,0.427,-0.04199999999999998,0.297,0.326,-0.029000000000000026
