"last_name, first_name","player_id","year","player_age","p_game","p_formatted_ip","pa","ab","hit","single","double","triple","home_run","strikeout","walk","k_percent","bb_percent","batting_avg","slg_percent","on_base_percent","on_base_plus_slg","woba","xwoba","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","whiff_percent","swing_percent"
"López, Pablo","641154","2024","28","25","141.0","584","539","132","85","25","0","22","152","32",26,5.5,".245",".414",".293","0.707",".306",".296",34.9,8.2,39.3,"76.314229282","93.752067154",27.2,51.6
"Imanaga, Shota","684007","2024","30","23","133.1","541","517","123","83","20","0","20","137","20",25.3,3.7,".238",".393",".270","0.663",".287",".291",36.2,8.4,39.4,"77.583527354","93.92436",27.5,56.1
"Gibson, Kyle","502043","2024","36","23","131.0","576","514","133","88","23","4","18","126","52",21.9,9,".259",".424",".328","0.752",".327",".346",34.7,9.4,40.5,"76.820847026","94.226545604",26.4,43.4
"Gomber, Austin","596295","2024","30","24","132.0","553","519","137","78","31","3","25","94","32",17,5.8,".264",".480",".306","0.786",".336",".345",35.1,10.3,40.5,"79.507155071","94.43173609",19.2,47.9
"Eovaldi, Nathan","543135","2024","34","22","127.0","515","477","109","72","18","1","18","123","29",23.9,5.6,".229",".384",".280","0.664",".289",".312",32.5,7.3,43.4,"78.612602881","94.676290847",27.3,52.2
"Suárez, Ranger","624133","2024","28","20","119.1","481","447","100","67","23","1","9","116","27",24.1,5.6,".224",".340",".276","0.616",".271",".283",33.4,4.8,36.1,"75.511192699","93.811410123",22.2,47.5
"Ureña, José","570632","2024","32","29","93.0","394","353","90","61","16","1","12","61","34",15.5,8.6,".255",".408",".321","0.729",".317",".324",25.9,8.1,40.7,"78.193811361","94.614959116",22.9,46.2
"Nola, Aaron","605400","2024","31","25","154.0","651","604","147","89","34","1","23","147","41",22.6,6.3,".243",".417",".293","0.710",".307",".309",35.7,7.4,37.2,"77.283488734","93.949681856",23.4,48.9
"Soriano, José","667755","2024","25","22","113.0","468","407","91","65","17","1","8","97","45",20.7,9.6,".224",".329",".311","0.640",".287",".316",28.5,6.6,44.3,"78.912250382","94.75069",23.4,46
"Flexen, Chris","623167","2024","29","26","122.0","541","481","134","79","33","3","19","85","51",15.7,9.4,".279",".478",".348","0.826",".355",".344",37.5,7.9,37.2,"78.41693245","93.934878195",21.1,46
"Civale, Aaron","650644","2024","29","24","124.1","540","492","130","82","25","0","23","117","40",21.7,7.4,".264",".455",".325","0.780",".338",".315",37,7.4,38.9,"79.216356791","93.979680295",22.3,45.3
"López, Reynaldo","625643","2024","30","20","109.2","447","401","93","65","19","2","7","112","38",25.1,8.5,".232",".342",".296","0.638",".281",".322",37.2,8.8,41.2,"79.391003129","94.298859082",26.8,48.8
"Fried, Max","608331","2024","30","21","121.2","533","479","111","93","8","0","10","119","46",22.3,8.6,".232",".311",".303","0.614",".276",".302",30.9,4.7,34.2,"73.551453278","93.187095432",23.9,45.5
"Lorenzen, Michael","547179","2024","32","22","117.1","512","447","99","62","19","1","17","91","57",17.8,11.1,".221",".383",".316","0.699",".309",".335",32.4,8.1,39.9,"76.842170168","94.249232045",22.2,44.8
"Spence, Mitch","687765","2024","26","27","108.2","491","451","119","73","28","2","16","97","35",19.8,7.1,".264",".441",".320","0.761",".329",".307",30.1,8.1,41,"79.29175264","94.154153831",23.1,50.9
"Crochet, Garrett","676979","2024","25","25","124.2","526","488","107","69","20","2","16","180","31",34.2,5.9,".219",".367",".272","0.639",".279",".264",33.5,8.4,38.1,"76.570460719","94.024126438",32.9,53.1
"Montgomery, Jordan","656756","2024","31","18","89.1","432","390","123","75","33","3","12","67","36",15.5,8.3,".315",".508",".373","0.881",".377",".352",36.1,6.7,41.6,"77.550261563","94.369383542",26.1,48.9
"Burnes, Corbin","669203","2024","29","25","153.2","624","582","132","93","20","1","18","144","38",23.1,6.1,".227",".357",".276","0.633",".277",".283",26.1,6.6,31.4,"76.858240688","93.154807724",28.4,49.3
"Irvin, Cole","608344","2024","30","21","94.2","436","403","117","72","26","4","15","68","23",15.6,5.3,".290",".486",".333","0.819",".350",".366",38.5,12.6,42.1,"80.029107143","94.545618631",16.8,48.9
"Skubal, Tarik","669373","2024","27","25","155.1","614","569","112","74","22","3","13","185","33",30.1,5.4,".197",".315",".250","0.565",".249",".265",34.5,6.7,34.6,"77.037360314","93.376767165",32,51.2
"Paxton, James","572020","2024","35","21","100.1","437","379","95","63","18","2","12","73","50",16.7,11.4,".251",".404",".336","0.740",".324",".337",32.6,8,43.1,"80.362296013","94.558863072",21,47.2
"Rodón, Carlos","607074","2024","31","25","134.2","573","518","124","68","28","4","24","148","44",25.8,7.7,".239",".448",".309","0.757",".327",".320",35.8,9.9,42.2,"80.752852903","94.565864474",29.5,49
"Gausman, Kevin","592332","2024","33","25","144.1","611","563","140","82","36","2","20","131","43",21.4,7,".249",".426",".303","0.729",".316",".344",36.4,10.8,42.6,"79.504537783","94.823163877",23,50
"Feltner, Ryan","663372","2024","27","23","122.1","532","484","134","91","24","2","17","107","39",20.1,7.3,".277",".440",".335","0.775",".336",".325",32,7.1,38.8,"77.402123245","94.152908324",24.1,48.2
"Kikuchi, Yusei","579328","2024","33","26","138.0","588","543","141","98","22","1","20","161","37",27.4,6.3,".260",".414",".308","0.722",".314",".314",34.3,9.8,45.6,"79.994429323","95.11588846",29,48.4
"Rogers, Trevor","669432","2024","26","25","124.1","562","491","140","86","37","3","14","97","56",17.3,10,".285",".458",".357","0.815",".350",".349",33.3,8.4,44.4,"80.391399303","94.92394505",20.9,46.2
"Waldron, Matt","663362","2024","27","25","138.1","603","548","137","86","31","1","19","130","40",21.6,6.6,".250",".414",".310","0.724",".315",".312",33.3,6.6,34.3,"77.215189619","93.49792642",20.9,45
"Nelson, Ryne","669194","2024","26","23","124.0","523","484","131","79","32","8","12","101","29",19.3,5.5,".271",".444",".315","0.759",".325",".313",34,7.2,40.7,"80.117089948","94.481298531",18.3,52.2
"Kirby, George","669923","2024","26","26","150.2","617","588","144","95","29","3","17","148","19",24,3.1,".245",".391",".272","0.663",".286",".292",32.4,8.5,36.6,"78.322141545","93.874704205",24.8,53.6
"Cease, Dylan","656302","2024","28","26","148.1","591","529","102","59","25","1","17","186","50",31.5,8.5,".193",".340",".263","0.603",".266",".285",33.6,10.3,35.9,"77.168988902","93.881007428",33,47.6
"Assad, Javier","665871","2024","26","23","113.0","490","427","104","68","21","2","13","99","50",20.2,10.2,".244",".393",".327","0.720",".317",".330",35.5,7.8,37.6,"77.338702866","93.919306239",18,42.5
"Ragans, Cole","666142","2024","26","26","152.1","625","568","125","80","29","2","14","183","50",29.3,8,".220",".352",".286","0.638",".281",".288",32.1,6.7,36.8,"77.266491414","93.796371942",32.7,49.3
"Sánchez, Cristopher","650911","2024","27","24","140.1","580","543","142","111","24","2","5","108","34",18.6,5.9,".262",".341",".304","0.645",".285",".299",30.6,5,33.6,"75.225135139","93.837692807",22.9,50.8
"Severino, Luis","622663","2024","30","24","142.2","598","534","127","89","20","1","17","117","47",19.6,7.9,".238",".375",".312","0.687",".304",".307",28.5,5.7,35,"75.147753527","93.439061429",21,50
"Arrighetti, Spencer","681293","2024","24","22","110.2","488","428","109","68","23","1","17","134","52",27.5,10.7,".255",".432",".342","0.774",".339",".311",37.8,8.8,41.2,"78.126924392","94.370164696",28.1,46.9
"Myers, Tobias","668964","2024","25","19","99.1","421","385","91","65","12","1","13","90","27",21.4,6.4,".236",".374",".294","0.668",".293",".316",34.1,7.7,39.6,"79.658678356","94.347735719",20.8,49.7
"Blanco, Ronel","669854","2024","30","24","137.2","555","491","91","50","18","3","20","136","55",24.5,9.9,".185",".356",".268","0.624",".274",".312",30.7,9.4,35.2,"78.059569441","93.626176536",29.6,48.4
