"last_name, first_name","player_id","year","player_age","p_game","p_formatted_ip","pa","ab","hit","single","double","triple","home_run","strikeout","walk","k_percent","bb_percent","batting_avg","slg_percent","on_base_percent","on_base_plus_slg","woba","xwoba","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","whiff_percent","swing_percent"
"Lynn, Lance","458681","2024","37","21","106.1","467","417","104","69","19","1","15","97","41",20.8,8.8,".249",".408",".320","0.728",".318",".342",35.7,10.5,39.7,"77.555626646","94.339069533",24.4,48.1
"Manaea, Sean","640455","2024","32","24","130.0","568","506","108","70","24","0","14","138","52",24.3,9.2,".213",".344",".294","0.638",".284",".312",38.5,7.8,39.4,"77.697110163","94.122353886",25.9,48.9
"Carrasco, Carlos","471911","2024","37","21","103.2","447","406","112","62","26","5","19","89","33",19.9,7.4,".276",".505",".336","0.841",".360",".334",35.3,8.1,38.8,"78.887420443","94.036830506",22.6,48.7
"Rea, Colin","607067","2024","33","24","135.1","562","517","120","74","24","2","20","108","36",19.2,6.4,".232",".402",".290","0.692",".301",".339",34.8,9.2,41.1,"79.942848284","94.533917543",18.8,45.8
"Sears, JP","676664","2024","28","25","141.0","584","524","129","78","29","3","19","110","37",18.8,6.3,".246",".422",".308","0.730",".316",".317",32.2,9.2,39,"77.800070766","94.281059736",23.2,49
"Suárez, Albert","544150","2024","34","25","96.1","409","365","91","59","25","1","6","78","33",19.1,8.1,".249",".373",".314","0.687",".301",".311",37.3,5.1,37.6,"78.016972897","93.608061315",23.7,49.1
"Berríos, José","621244","2024","30","26","156.2","645","582","138","93","15","3","27","123","46",19.1,7.1,".237",".412",".306","0.718",".313",".344",35.5,8,42.2,"79.140610218","94.228051751",20.7,46.4
"Flaherty, Jack","656427","2024","28","21","123.1","512","483","106","71","11","5","19","162","24",31.6,4.7,".219",".381",".262","0.643",".279",".282",36,7.8,36.8,"77.615774351","93.766952866",32.6,47.6
"Mikolas, Miles","571945","2024","35","25","138.0","578","546","156","91","41","4","20","96","22",16.6,3.8,".286",".485",".314","0.799",".340",".328",37.7,7.5,41.2,"77.533554493","94.138821322",16.4,49.6
"Hendricks, Kyle","543294","2024","34","22","96.1","415","381","110","80","10","1","19","67","27",16.1,6.5,".289",".470",".337","0.807",".348",".340",35.5,6.9,33,"72.969387107","93.060251735",18.5,46.7
"Greene, Hunter","668881","2024","24","24","143.1","583","503","93","60","19","3","11","162","53",27.8,9.1,".185",".300",".284","0.584",".265",".271",29.2,4.9,33,"76.429862428","93.198086994",29.4,50.6
"Bello, Brayan","678394","2024","25","23","123.2","540","482","127","83","25","0","19","120","47",22.2,8.7,".263",".434",".337","0.771",".336",".333",34.8,7.9,42.2,"76.374066978","94.713319008",27.2,47
"Gallen, Zac","668678","2024","28","21","110.0","466","425","108","70","25","5","8","102","37",21.9,7.9,".254",".393",".318","0.711",".311",".317",33.6,6.2,41,"80.022808696","94.398373447",24.7,45.3
"Woods Richardson, Simeon","680573","2024","23","21","107.1","467","421","96","67","15","1","13","99","35",21.2,7.5,".228",".361",".288","0.649",".285",".311",34.8,9.1,36.4,"78.058096585","93.666040826",22.4,50.5
"Glasnow, Tyler","607192","2024","30","22","134.0","522","484","92","48","27","2","15","168","35",32.2,6.7,".190",".347",".244","0.591",".258",".255",32.5,8.5,40.1,"78.136298153","94.141661885",30.9,48.4
"Singer, Brady","663903","2024","27","25","141.2","592","539","132","89","25","3","15","136","40",23,6.8,".245",".386",".308","0.694",".305",".328",34.9,8.1,39.8,"77.109892764","94.125221608",24.5,45.5
"Pivetta, Nick","601713","2024","31","20","105.1","433","401","95","52","17","3","23","125","27",28.9,6.2,".237",".466",".284","0.750",".318",".310",41.8,11.4,40,"79.783475929","94.061385806",25.5,50.7
"Pepiot, Ryan","686752","2024","26","18","92.2","397","357","71","46","11","2","12","104","33",26.2,8.3,".199",".342",".275","0.617",".273",".298",31.4,8.6,39.2,"79.291836563","93.97340651",30.5,46.7
"Cortes Jr., Nestor","641482","2024","29","25","141.1","606","567","142","84","37","0","21","137","29",22.6,4.8,".250",".427",".290","0.717",".308",".297",35.1,8.3,42.7,"79.013967581","94.404052744",24,50.8
"Stone, Gavin","694813","2024","25","23","128.1","533","494","125","85","23","2","15","105","34",19.7,6.4,".253",".399",".303","0.702",".305",".310",32.7,5.6,35.5,"77.035816598","93.586903711",24.3,50.9
"Anderson, Tyler","542881","2024","34","25","153.1","637","571","129","78","29","3","19","119","58",18.7,9.1,".226",".387",".301","0.688",".301",".319",34.1,8.4,32.5,"75.991995551","93.01540426",27.5,49.1
"Miller, Bryce","682243","2024","25","25","143.2","567","530","113","71","23","1","18","133","33",23.5,5.8,".213",".362",".261","0.623",".272",".307",33.1,10,41.9,"81.348457475","94.411458481",23.6,50.3
"Gil, Luis","661563","2024","26","24","124.2","524","449","83","46","23","2","12","144","66",27.5,12.6,".185",".325",".298","0.623",".282",".297",31.7,8.8,36.6,"78.24089098","93.919804869",28.9,45.1
"Sale, Chris","519242","2024","35","23","140.2","556","515","108","75","22","3","8","187","32",33.6,5.8,".210",".311",".264","0.575",".255",".255",35.3,5.1,29.3,"74.175176012","92.766032945",31.2,49.4
"Marsh, Alec","679525","2024","26","20","101.1","425","384","95","58","21","2","14","93","32",21.9,7.5,".247",".422",".311","0.733",".317",".346",38.6,9.8,42,"79.572269793","94.855682069",22.3,47.5
"Abbott, Andrew","671096","2024","25","25","138.0","586","529","127","73","28","1","25","114","52",19.5,8.9,".240",".439",".309","0.748",".323",".314",36.6,9.3,33.5,"78.18333039","93.177609095",22.5,47.6
"Gore, MacKenzie","669022","2024","25","25","125.2","571","505","145","101","30","3","11","136","54",23.8,9.5,".287",".424",".363","0.787",".345",".334",37,6.7,38.1,"76.36323663","93.807454755",28.1,50.4
"Bassitt, Chris","605135","2024","35","25","139.0","608","540","146","110","19","1","16","134","54",22,8.9,".270",".398",".348","0.746",".329",".326",35.9,8.1,39.1,"75.57081665","94.305012765",20.8,45.2
"Steele, Justin","657006","2024","28","20","116.0","480","437","95","65","20","0","10","115","32",24,6.7,".217",".332",".276","0.608",".269",".268",32.5,4.6,33.1,"76.246691","93.065860094",22.8,51.4
"Valdez, Framber","664285","2024","30","22","137.2","550","496","114","84","18","1","11","131","43",23.8,7.8,".230",".337",".295","0.632",".280",".292",27.8,4.9,46.1,"80.771410383","94.598076776",28,44.7
"Pérez, Martín","527048","2024","33","20","106.0","464","422","123","80","25","0","18","86","36",18.5,7.8,".291",".479",".352","0.831",".359",".357",33.4,9.2,42,"76.56676756","94.798569673",20.4,46.2
"Hudson, Dakota","641712","2024","29","18","89.0","404","346","99","69","19","0","11","49","50",12.1,12.4,".286",".436",".382","0.818",".360",".372",31.7,6.3,42,"78.864896622","94.869387534",18.1,42.1
"Bibee, Tanner","676440","2024","25","24","132.1","536","493","111","60","33","2","16","144","32",26.9,6,".225",".398",".277","0.675",".291",".298",35.2,7,37.2,"77.607586648","93.772312358",26.1,50.8
"Crawford, Kutter","676710","2024","28","26","143.1","583","536","119","68","21","2","28","133","36",22.8,6.2,".222",".425",".278","0.703",".303",".313",34.9,10.6,37.1,"78.3601001","93.797693915",25.2,52.7
"King, Michael","650633","2024","29","25","141.1","585","528","116","81","18","2","15","167","50",28.5,8.5,".220",".347",".292","0.639",".283",".291",34.6,5.5,30.2,"73.658002944","92.67815039",29.2,45.4
"Wheeler, Zack","554430","2024","34","25","154.2","614","559","109","65","24","3","17","170","43",27.7,7,".195",".340",".261","0.601",".265",".272",33.6,8.7,33.4,"74.877175897","92.986123821",27.2,50.3
"Estes, Joey","683155","2024","22","18","95.1","395","363","88","43","29","2","14","71","22",18,5.6,".242",".449",".294","0.743",".317",".325",37.8,9.8,40.9,"79.352878784","94.192068508",19.7,56.1
"Lodolo, Nick","666157","2024","26","20","110.2","472","421","99","61","25","0","13","113","34",23.9,7.2,".235",".387",".316","0.703",".311",".305",32.4,8.4,37.9,"78.412027451","94.17144085",26.9,46.7
"Castillo, Luis","622491","2024","31","26","153.2","631","579","137","84","33","1","19","154","43",24.4,6.8,".237",".396",".294","0.690",".299",".308",37.1,8.4,41.5,"78.820703019","94.448426974",25.2,50.2
"Ryan, Joe","657746","2024","28","23","135.0","538","507","110","61","24","6","19","147","23",27.3,4.3,".217",".400",".257","0.657",".282",".268",33.6,8.5,36.6,"77.148522833","93.914347298",26.6,50.9
"Lugo, Seth","607625","2024","34","26","166.2","676","621","139","91","31","3","14","143","42",21.2,6.2,".224",".351",".280","0.631",".277",".311",34,7.9,40.2,"77.920306008","94.183480588",22.5,46.2
"Pfaadt, Brandon","694297","2024","25","25","150.0","613","574","141","95","22","6","18","139","31",22.7,5.1,".246",".399",".286","0.685",".296",".294",31.7,6.8,39.6,"78.191286774","94.118426143",24.3,49.7
"Taillon, Jameson","592791","2024","32","21","121.2","525","493","126","88","18","1","19","101","26",19.2,5,".256",".412",".292","0.704",".304",".305",30.7,7.6,36.3,"79.933453469","93.820123171",20,48.8
"Ortiz, Luis","682847","2024","25","31","101.0","415","374","84","53","15","4","12","78","31",18.8,7.5,".225",".382",".292","0.674",".291",".319",34.3,9.3,37.7,"77.8266926","93.966765853",21.3,48.3
"Peralta, Freddy","642547","2024","28","25","137.1","574","508","115","76","16","1","22","162","51",28.2,8.9,".226",".392",".305","0.697",".306",".307",35.4,9.1,36.8,"74.886729598","93.640927637",31.4,47.2
"Quantrill, Cal","615698","2024","29","24","127.1","551","486","130","83","24","4","19","97","50",17.6,9.1,".267",".451",".348","0.799",".348",".342",36.9,6.9,39.7,"78.060569692","94.24229473",22.1,46.2
"Gilbert, Logan","669302","2024","27","25","161.0","639","600","120","69","32","1","18","162","31",25.4,4.9,".200",".347",".241","0.588",".255",".282",33.2,6.8,38.8,"78.504628721","94.331618242",30.4,50.4
"Ober, Bailey","641927","2024","28","24","140.0","551","509","104","58","23","4","19","145","34",26.3,6.2,".204",".377",".258","0.635",".275",".287",36.1,8.4,35.9,"76.797161413","93.407690191",28.6,52.1
"Lively, Ben","594902","2024","32","22","120.0","492","447","105","63","17","4","21","98","40",19.9,8.1,".235",".432",".303","0.735",".318",".312",30.9,6.9,42.3,"81.285262184","94.306373592",18.8,46.3
"Quintana, Jose","500779","2024","35","25","134.0","578","507","125","75","25","3","22","106","52",18.3,9,".247",".438",".327","0.765",".332",".344",33.7,7.6,39.1,"76.83636698","94.052100397",22.2,43.1
"Olson, Reese","681857","2024","24","19","103.0","425","385","91","62","21","2","6","92","31",21.6,7.3,".236",".348",".294","0.642",".282",".294",31.1,5.4,43.8,"79.883031081","94.523009595",27.9,47.3
"Parker, Mitchell","680730","2024","24","22","115.2","515","479","121","79","24","2","16","104","32",20.2,6.2,".253",".411",".300","0.711",".308",".326",35.2,7.7,38.9,"79.697683297","94.181483089",21.3,51.4
"Kremer, Dean","665152","2024","28","18","96.1","415","366","80","50","15","0","15","91","41",21.9,9.9,".219",".383",".297","0.680",".298",".343",30.6,10.7,37,"77.28902587","93.765140036",21.9,45.5
"Brown, Hunter","686613","2024","25","25","134.1","568","511","130","98","15","2","15","145","50",25.5,8.8,".254",".380",".326","0.706",".312",".289",30.4,4.6,30.2,"74.036457554","92.847821717",25.8,46.1
"Hicks, Jordan","663855","2024","27","27","107.2","467","412","107","74","19","2","12","94","44",20.1,9.4,".260",".403",".343","0.746",".329",".341",34.4,9.1,41.9,"78.305107911","94.573466476",24.3,44.4
"Eflin, Zach","621107","2024","30","23","135.1","562","540","139","93","27","2","17","112","15",19.9,2.7,".257",".409",".280","0.689",".296",".284",29.4,6.7,36.3,"77.62394271","93.945146557",21.5,49.7
"Falter, Bailey","663559","2024","27","21","107.1","439","401","103","69","21","0","13","75","31",17.1,7.1,".257",".406",".307","0.713",".310",".343",36.6,9,40.2,"79.820567378","94.37411872",19.8,49.8
"Corbin, Patrick","571578","2024","34","25","135.1","598","541","168","108","34","7","19","99","45",16.6,7.5,".311",".505",".361","0.866",".369",".370",38.1,8.6,47.8,"80.553180271","95.385977466",21.1,47.8
"Gray, Sonny","543243","2024","34","23","135.2","550","509","117","70","24","5","18","168","34",30.5,6.2,".230",".403",".280","0.683",".295",".305",37.1,9.6,38.8,"79.240182647","94.316278083",29,49
"Bradley, Taj","671737","2024","23","18","101.1","417","372","81","51","14","1","15","114","36",27.3,8.6,".218",".382",".287","0.669",".292",".312",34,10.6,41.9,"81.303399231","94.797937654",27.2,50.5
"Allen, Logan","671106","2024","25","19","92.1","407","363","105","58","24","3","20","78","37",19.2,9.1,".289",".537",".360","0.897",".382",".363",36.5,11.1,46.2,"79.802390986","95.404377746",21.6,45.1
"Morton, Charlie","450203","2024","40","23","126.0","531","465","115","68","27","1","19","127","46",23.9,8.7,".247",".432",".334","0.766",".334",".333",32.5,10.5,39.2,"77.876904824","94.189369941",26,47.2
"Heaney, Andrew","571760","2024","33","25","124.1","557","508","124","81","24","1","18","131","36",23.5,6.5,".244",".402",".303","0.705",".306",".319",36.4,8.1,40.1,"79.54833","94.408313697",27,50.8
"Martinez, Nick","607259","2024","33","34","97.0","415","392","98","61","24","2","11","82","13",19.8,3.1,".250",".406",".280","0.686",".295",".282",33,5.1,31.4,"74.933885833","93.165754373",23.3,52.1
"Stroman, Marcus","573186","2024","33","24","127.1","547","482","122","78","22","4","18","92","54",16.8,9.9,".253",".427",".336","0.763",".334",".341",34.6,7.1,38.7,"78.311414611","94.226322694",20.7,43.7
"Keller, Mitch","656605","2024","28","25","148.1","629","570","140","88","26","9","17","134","40",21.3,6.4,".246",".412",".306","0.718",".312",".309",35.6,6.8,37.4,"77.351661","93.81170075",21.3,47.8
"Montas, Frankie","593423","2024","31","23","114.1","501","444","110","69","25","0","16","99","49",19.8,9.8,".248",".412",".327","0.739",".324",".333",35.6,7.8,42.5,"78.018619235","94.3878715",23.6,49.3
"Wilson, Bryse","669060","2024","26","31","98.2","415","379","94","63","9","2","20","79","30",19,7.2,".248",".441",".309","0.750",".325",".355",37.1,9.6,44,"77.852118067","94.7770812",20.9,48.3
"Fedde, Erick","607200","2024","31","25","143.1","593","544","127","83","23","3","18","122","42",20.6,7.1,".233",".386",".291","0.677",".295",".311",32.2,7.7,36.2,"77.041532925","93.788037665",21.4,45.4
"Houck, Tanner","656557","2024","28","25","152.2","638","582","136","103","24","0","9","135","40",21.2,6.3,".234",".321",".295","0.616",".275",".311",29.3,5.6,42.4,"78.995372332","94.615325157",22.7,47.6
"Rodriguez, Grayson","680570","2024","24","20","116.2","491","449","109","68","24","2","15","130","36",26.5,7.3,".243",".405",".305","0.710",".310",".304",36.9,7.8,39.7,"78.512590063","94.106694844",30,50.2
"Littell, Zack","641793","2024","28","24","129.2","551","518","144","98","25","1","20","116","26",21.1,4.7,".278",".446",".319","0.765",".331",".327",35.7,9.7,39.6,"78.8257889","94.103163133",22.4,51.7
"Harrison, Kyle","690986","2024","22","22","117.0","495","443","114","74","23","1","16","108","38",21.8,7.7,".257",".422",".322","0.744",".323",".338",34.5,10.2,43.9,"80.221565118","94.896654277",23.7,46.5
"Gray, Jon","592351","2024","32","21","96.0","404","377","97","70","15","4","8","80","24",19.8,5.9,".257",".382",".300","0.682",".296",".328",34,8,42.7,"80.210181486","95.033135458",24.3,51.7
"Canning, Griffin","656288","2024","28","25","133.0","579","516","141","91","23","3","24","96","48",16.6,8.3,".273",".469",".338","0.807",".347",".343",32.4,8.9,42.4,"81.105055775","94.862569718",23.3,49
"Irvin, Jake","663623","2024","27","26","151.0","613","572","138","82","29","3","24","127","35",20.7,5.7,".241",".428",".288","0.716",".308",".319",32.6,8.9,40.2,"78.149158145","94.511879229",22.2,49
"Wacha, Michael","608379","2024","32","22","127.0","522","473","115","76","22","3","14","108","38",20.7,7.3,".243",".391",".301","0.692",".301",".321",33.6,8.3,32.3,"76.03420913","93.095094647",22.5,47.1
"Webb, Logan","657277","2024","27","26","164.2","702","654","165","126","28","4","7","146","41",20.8,5.8,".252",".339",".296","0.635",".278",".315",32.9,7,46.8,"77.981739339","95.244981287",21.3,45.9
