"last_name, first_name","player_id","year","player_age","ab","pa","hit","single","double","triple","home_run","strikeout","walk","k_percent","bb_percent","batting_avg","slg_percent","on_base_percent","on_base_plus_slg","woba","xwoba","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","whiff_percent","swing_percent","maxeff_arm_2b_3b_sba","n_outs_above_average"
"Stallings, Jacob","607732","2022","32","346","384","77","61","12","0","4","83","29",21.6,7.6,".223",".292",".292","0.584",".265",".274",33.5,3.4,32.3,"96.725527727","92.385356023",22.7,43.7,"82",
"Margot, Manuel","622534","2022","27","336","363","92","68","18","2","4","68","24",18.7,6.6,".274",".375",".325","0.700",".308",".299",30.9,3.7,37.9,"99.958428538","94.191039654",24.7,52.7,,"0"
"Guerrero Jr., Vladimir","665489","2022","23","638","706","175","108","35","0","32","116","58",16.4,8.2,".274",".480",".339","0.819",".351",".351",27.9,11.2,50.4,"105.507038582","97.328619789",24.4,49.7,,
"Díaz, Elias","553869","2022","31","351","381","80","51","18","2","9","82","25",21.5,6.6,".228",".368",".281","0.649",".284",".274",28.3,5.9,39.3,"100.058292985","94.204058315",22.7,51.8,"84.8",
"Marsh, Brandon","669016","2022","24","424","461","104","71","18","4","11","158","28",34.3,6.1,".245",".384",".295","0.679",".296",".287",40.8,7.4,38.2,"99.629003534","94.108601774",29.1,47.9,,"7"
"Vogelbach, Daniel","596129","2022","29","386","461","92","54","19","1","18","114","73",24.7,15.8,".238",".433",".360","0.793",".349",".350",38.1,10.6,39.9,"99.817658603","94.085066691",20.4,32.2,,
"Upton, Justin","457708","2022","34","48","57","6","4","1","0","1","23","6",40.4,10.5,".125",".208",".263","0.471",".231",".249",36,4,32,"99.128878333","93.64988375",37.5,45.4,,
"García, Luis","671277","2022","22","360","377","99","67","23","2","7","84","11",22.3,2.9,".275",".408",".295","0.703",".303",".305",37.4,7.5,36.7,"98.963627429","93.569820789",27,53.5,,
"Polanco, Jorge","593871","2022","28","375","445","88","56","16","0","16","95","64",21.3,14.4,".235",".405",".346","0.751",".333",".358",37.7,10.2,38.7,"99.924839571","94.156301183",25.6,42.4,,
"Reyes, Franmil","614177","2022","26","438","473","97","64","17","2","14","157","30",33.2,6.3,".221",".365",".273","0.638",".280",".275",27.8,11.3,45.8,"102.075082606","95.415814488",37.1,47.8,,"-1"
"Walsh, Jared","665120","2022","28","423","454","91","56","18","2","15","138","27",30.4,5.9,".215",".374",".269","0.643",".278",".280",34,9.5,42.5,"100.931193759","94.894355638",27.6,49.1,,
"Moncada, Yoán","660162","2022","27","397","433","84","53","18","1","12","114","32",26.3,7.4,".212",".353",".273","0.626",".275",".289",35.1,9.8,37.5,"99.519949858","93.912687082",27.8,47.1,,
"Franco, Wander","677551","2022","21","314","344","87","58","20","3","6","33","26",9.6,7.6,".277",".417",".328","0.745",".323",".331",35.1,4.6,35.8,"98.428767413","93.287600772",13.3,51.3,,
"Grossman, Robbie","543257","2022","32","411","477","86","59","19","1","7","129","56",27,11.7,".209",".311",".310","0.621",".283",".281",38.5,3.5,30.4,"96.176090559","92.129787754",23.9,40.9,,"0"
"Castro, Willi","650489","2022","25","365","392","88","60","18","2","8","82","15",20.9,3.8,".241",".367",".284","0.651",".285",".286",35.5,3.5,31.4,"97.165751549","92.663004452",28.4,58.2,,"0"
"Arias, Gabriel","672356","2022","22","47","57","9","6","1","1","1","16","8",28.1,14,".191",".319",".321","0.640",".294",".290",18.8,6.3,34.4,"100.516843333","94.398779",36.1,42,,
"Sánchez, Gary","596142","2022","29","419","471","86","46","24","0","16","136","40",28.9,8.5,".205",".377",".282","0.659",".290",".321",29.2,13.5,49.3,"103.200555347","96.181078537",30.8,44,"86.3",
"Owings, Chris","572008","2022","30","56","68","6","4","2","0","0","24","10",35.3,14.7,".107",".143",".254","0.397",".204",".238",24.2,3,15.2,"93.847479375","91.246089355",38.4,42.9,,
"Gonzalez, Oscar","660757","2022","24","362","382","107","69","27","0","11","75","15",19.6,3.9,".296",".461",".327","0.788",".339",".320",32.5,7.3,40.1,"101.045260903","94.682138153",26.7,59.3,,"-6"
"Mitchell, Garrett","669003","2022","23","61","68","19","14","3","0","2","28","6",41.2,8.8,".311",".459",".373","0.832",".365",".266",41.2,11.8,41.2,"100.828725882","95.111031515",31.5,48.7,,"1"
"Wong, Connor","657136","2022","26","48","56","9","5","3","0","1","16","5",28.6,8.9,".188",".313",".273","0.586",".263",".277",20.6,11.8,32.4,"99.758804706","94.271729091",30.6,48.9,"85.7",
"Suzuki, Seiya","673548","2022","27","397","446","104","66","22","2","14","110","42",24.7,9.4,".262",".433",".336","0.769",".334",".326",36.9,11,41.3,"100.244268881","94.350662098",22.8,39,,"-4"
"Barrera, Tres","668663","2022","27","50","53","9","8","1","0","0","16","2",30.2,3.8,".180",".200",".212","0.412",".187",".187",31.4,0,14.3,"91.985822941","90.149646176",24,53.6,"76.7",
"Sanó, Miguel","593934","2022","29","60","71","5","4","0","0","1","25","9",35.2,12.7,".083",".133",".211","0.344",".176",".302",30.6,13.9,52.8,"102.693380556","96.171660278",37.2,39.6,,
"McKinney, Billy","641856","2022","27","52","57","5","3","1","0","1","16","4",28.1,7,".096",".173",".158","0.331",".144",".200",29.7,5.4,21.6,"94.801226111","91.441268889",27.8,42.2,,"1"
"Rojas, Jose","670351","2022","29","56","57","7","5","2","0","0","19","0",33.3,0,".125",".161",".140","0.301",".134",".182",21.6,2.7,32.4,"96.317041667","92.241079444",26,57.5,,
"Lewis, Kyle","641786","2022","26","56","62","8","5","0","0","3","19","5",30.6,8.1,".143",".304",".226","0.530",".239",".300",24.3,10.8,32.4,"99.820208889","93.910104444",39.2,47.5,,
"Benson, Will","666181","2022","24","55","61","10","9","1","0","0","19","3",31.1,4.9,".182",".200",".250","0.450",".212",".224",18.9,0,27,"96.206221667","92.304290833",30.6,42.8,,"-1"
"Contreras, Mark","676628","2022","27","58","61","7","3","1","0","3","21","1",34.4,1.6,".121",".293",".148","0.441",".189",".304",28.9,31.6,57.9,"104.284496316","97.133628947",31.9,62.7,,"3"
"Tucker, Cole","657061","2022","25","63","63","11","9","1","1","0","25","0",39.7,0,".175",".222",".175","0.397",".172",".198",39.5,7.9,23.7,"94.314187368","91.434396579",28.1,46,,"-1"
"Hernández, Enrique","571771","2022","30","361","402","80","50","24","0","6","71","34",17.7,8.5,".222",".338",".291","0.629",".280",".297",33.3,5.8,35,"98.797690959","93.474506164",24.6,47.7,,"4"
"Park, Hoy","660829","2022","26","51","60","11","7","2","0","2","15","4",25,6.7,".216",".373",".276","0.649",".282",".269",20,10,25,"96.311552105","92.268094324",20.7,38.8,,
"Nola, Austin","543592","2022","32","347","397","87","68","15","0","4","60","34",15.1,8.6,".251",".329",".321","0.650",".290",".305",35.4,2.4,39.7,"98.960360608","93.682414983",14.4,42.8,"81.4",
"Segura, Jean","516416","2022","32","354","387","98","79","9","0","10","58","25",15,6.5,".277",".387",".336","0.723",".320",".303",28.3,4.4,38.4,"99.507672313","93.804578639",18.5,48.8,,
"Matijevic, J.J.","656695","2022","26","67","71","14","10","2","0","2","25","2",35.2,2.8,".209",".328",".254","0.582",".258",".259",33.3,2.4,42.9,"99.865977143","94.197589762",36.6,51.8,,
"Robinson, Chuckie","642020","2022","27","59","60","8","4","2","0","2","17","0",28.3,0,".136",".271",".136","0.407",".173",".255",23.3,9.3,30.2,"97.52340381","92.76556",25.4,59.5,"86.3",
"Quinn, Roman","596451","2022","29","79","87","17","12","3","2","0","36","7",41.4,8,".215",".304",".287","0.591",".266",".244",30.2,4.7,41.9,"101.843556842","95.652174595",34.6,46.7,,"1"
"Heredia, Guillermo","628338","2022","31","76","82","12","5","3","1","3","32","6",39,7.3,".158",".342",".220","0.562",".246",".228",38.6,11.4,31.8,"97.683478636","92.851456136",35.8,54.8,,"0"
"Soto, Livan","670869","2022","22","55","59","22","15","5","1","1","13","2",22,3.4,".400",".582",".414","0.996",".424",".281",40.9,0,15.9,"92.851194286","90.623598049",16.8,50.7,,
"Cooper, Garrett","643265","2022","31","414","469","108","64","33","2","9","119","40",25.4,8.5,".261",".415",".337","0.752",".330",".341",39,10.7,43.7,"101.295185","94.99247689",25.1,45.2,,
"Jankowski, Travis","608671","2022","31","55","64","9","9","0","0","0","10","8",15.6,12.5,".164",".164",".281","0.445",".222",".259",22.2,0,22.2,"92.702330952","90.908144524",9.9,39.1,,"2"
"Pinto, René","650907","2022","25","80","83","17","12","3","0","2","35","2",42.2,2.4,".212",".325",".241","0.566",".249",".219",20,4.4,42.2,"100.210100435","94.321997111",36.8,56,"83.4",
"Cabrera, Miguel","408234","2022","39","397","433","101","86","10","0","5","101","28",23.3,6.5,".254",".317",".305","0.622",".275",".275",35.2,4.7,38.2,"99.360961867","93.99969786",27,50.2,,
"Wendle, Joey","621563","2022","32","347","371","90","62","24","1","3","50","15",13.5,4,".259",".360",".297","0.657",".289",".276",27.9,1.7,36.2,"98.002213624","93.083673569",16.7,53.2,,
"Palacios, Jermaine","650339","2022","25","70","77","10","8","0","0","2","27","4",35.1,5.2,".143",".229",".184","0.413",".184",".237",34.8,6.5,39.1,"98.38676913","93.33343",35,58.4,,
"Groshans, Jordan","677954","2022","22","61","65","16","15","0","0","1","13","4",20,6.2,".262",".311",".308","0.619",".278",".263",37.5,2.1,37.5,"98.61393375","93.529322917",17.9,44.5,,
"Robert Jr., Luis","673357","2022","24","380","401","108","78","18","0","12","77","17",19.2,4.2,".284",".426",".319","0.745",".324",".327",32.6,8.9,42.8,"101.454212895","94.809771678",27.1,61.5,,"3"
"Bouchard, Sean","656248","2022","26","74","97","22","13","6","0","3","25","21",25.8,21.6,".297",".500",".454","0.954",".417",".360",44,2,40,"100.2424568","94.5028188",27.8,37.8,,"-1"
"Gosselin, Phil","594838","2022","33","74","77","11","10","0","1","0","24","2",31.2,2.6,".149",".176",".182","0.358",".163",".207",30,2,36,"96.7428284","92.3714142",27.1,46.5,,
"Stefanic, Michael","683021","2022","26","61","69","12","10","2","0","0","12","5",17.4,7.2,".197",".230",".279","0.509",".239",".266",28,2,22,"93.49606","90.955379592",19.2,41.4,,
"Garrett, Stone","656448","2022","26","76","84","21","9","8","0","4","27","3",32.1,3.6,".276",".539",".309","0.848",".360",".268",28,10,52,"101.2777156","95.5788512",35,56.7,,
"Davis, Jonathan","641505","2022","30","76","91","17","16","1","0","0","26","14",28.6,15.4,".224",".237",".344","0.581",".278",".284",33.3,0,21.6,"95.4263956","91.7385968",25,41.5,,"5"
"Astudillo, Willians","553902","2022","30","54","55","13","12","0","0","1","3","1",5.5,1.8,".241",".296",".255","0.551",".243",".265",27.5,0,21.6,"95.272520769","91.848511961",17.2,66,,
"Mathias, Mark","664029","2022","27","81","91","20","11","3","0","6","30","9",33,9.9,".247",".506",".319","0.825",".353",".298",34.6,11.5,46.2,"99.592462692","93.998095769",34.6,39.4,,
"Harris II, Michael","671739","2022","21","414","441","123","74","27","3","19","107","21",24.3,4.8,".297",".514",".339","0.853",".368",".335",32.8,10.1,45.1,"102.581692941","95.614748459",28.1,52.4,,"7"
"Casas, Triston","671213","2022","22","76","95","15","9","1","0","5","23","19",24.2,20,".197",".408",".358","0.766",".344",".325",28.3,7.5,41.5,"99.403010741","93.836791698",26.3,37.9,,
"Gordon, Nick","624503","2022","26","405","443","110","69","28","4","9","105","19",23.7,4.3,".272",".427",".316","0.743",".321",".333",36.6,9.4,44.7,"99.949105229","94.408223268",27.8,59.4,,"0"
"Marisnick, Jake","545350","2022","31","77","82","18","10","6","0","2","24","4",29.3,4.9,".234",".390",".272","0.662",".283",".270",33.3,7.4,42.6,"101.038234583","94.796227234",30.7,57.6,,"5"
"Taylor, Michael A.","572191","2022","31","414","456","105","83","10","3","9","109","35",23.9,7.7,".254",".357",".313","0.670",".297",".289",33.5,6.8,32.9,"98.005175695","93.019305249",29.1,51.5,,"5"
"Grisham, Trent","663757","2022","25","451","524","83","48","16","2","17","150","57",28.6,10.9,".184",".341",".284","0.625",".280",".296",25.5,8.1,35.5,"99.46593125","93.84436934",26.2,38.7,,"17"
"Kreidler, Ryan","668952","2022","24","73","84","13","11","1","0","1","22","6",26.2,7.1,".178",".233",".244","0.477",".218",".273",34.5,7.3,32.7,"96.201781111","92.261975094",27.6,49.2,,
"Aranda, Jonathan","666018","2022","24","78","87","15","9","4","0","2","23","8",26.4,9.2,".192",".321",".276","0.597",".264",".279",29.1,7.3,45.5,"100.631155185","94.661134074",22.4,44,,
"Mercedes, Yermín","606213","2022","29","73","83","17","11","5","0","1","17","9",20.5,10.8,".233",".342",".325","0.667",".301",".329",42.9,7.1,28.6,"97.540917857","92.781276429",22.7,49.9,,
"Urías, Ramón","602104","2022","28","403","445","100","66","17","1","16","98","30",22,6.7,".248",".414",".305","0.719",".313",".320",32.1,9.6,46.5,"100.690244675","94.67897342",27.4,49.8,,
"Urías, Luis","649966","2022","25","406","472","97","63","17","1","16","99","50",21,10.6,".239",".404",".335","0.739",".327",".326",34.3,8.3,35.3,"97.964867677","93.080449903",22.2,43.2,,
"Demeritte, Travis","641513","2022","27","89","96","19","14","2","0","3","32","6",33.3,6.3,".213",".337",".260","0.597",".263",".263",34.5,6.9,37.9,"100.223234828","94.186779655",38.2,43.3,,"-2"
"Lamb, Jake","571875","2022","31","97","111","21","11","6","1","3","38","11",34.2,9.9,".216",".392",".315","0.707",".314",".314",35.6,11.9,44.1,"100.710084667","94.859118475",31.1,43.3,,"-2"
"Contreras, Willson","575929","2022","30","416","487","101","54","23","2","22","103","45",21.1,9.2,".243",".466",".349","0.815",".357",".364",30.2,10.5,48.6,"103.238284065","96.034015696",30.9,50.6,"86",
"Rutschman, Adley","668939","2022","24","398","470","101","52","35","1","13","86","65",18.3,13.8,".254",".445",".362","0.807",".354",".342",35.6,7.9,36.8,"99.028130823","93.60531527",17.9,40.5,"86.3",
"Barrera, Luis","642456","2022","26","77","85","18","12","5","0","1","17","6",20,7.1,".234",".338",".294","0.632",".280",".257",32.8,3.3,32.8,"96.470882","92.307228136",19.6,48.4,,"2"
"Fairchild, Stuart","656413","2022","26","97","110","24","14","4","1","5","34","8",30.9,7.3,".247",".464",".336","0.800",".350",".317",31.7,9.5,41.3,"99.364164194","93.906276721",35.8,48.2,,"2"
"Daza, Yonathan","602074","2022","28","372","408","112","87","21","2","2","58","26",14.2,6.4,".301",".384",".349","0.733",".323",".308",34.1,1.9,25,"95.180250189","91.627182587",18.7,50.5,,"-2"
"Odor, Rougned","596059","2022","28","426","472","88","53","19","3","13","109","32",23.1,6.8,".207",".357",".275","0.632",".278",".277",30.5,6.5,33.3,"98.233676795","93.245734647",27.3,50.6,,
"Heim, Jonah","641680","2022","27","406","450","92","55","20","1","16","87","41",19.3,9.1,".227",".399",".298","0.697",".306",".291",29.6,6.9,39.9,"99.379567107","93.916796887",21.4,50.8,"83.7",
"Sierra, Magneuris","642423","2022","26","91","96","15","11","1","3","0","25","4",26,4.2,".165",".242",".200","0.442",".195",".212",22.4,0,16.4,"94.478225","91.413321017",24.2,54.9,,"3"
"Papierski, Michael","657709","2022","26","91","103","13","11","1","0","1","26","10",25.2,9.7,".143",".187",".228","0.415",".197",".217",28.4,0,9,"88.340397273","89.381348308",19.1,43.5,"78.1",
"Zunino, Mike","572287","2022","31","115","123","17","9","3","0","5","46","6",37.4,4.9,".148",".304",".195","0.499",".219",".252",34.3,8.6,41.4,"101.818613429","95.463730286",40.2,51,"75",
"Vosler, Jason","613564","2022","28","98","111","26","15","6","1","4","29","10",26.1,9,".265",".469",".342","0.811",".349",".312",41.4,4.3,25.7,"96.156387143","92.284307101",25.9,47,,
"Kepler, Max","596146","2022","29","388","446","88","60","18","1","9","66","49",14.8,11,".227",".348",".318","0.666",".298",".338",31.9,7.1,39.9,"100.09058546","94.217393221",19.9,46.1,,"11"
"Carpenter, Kerry","681481","2022","24","103","113","26","15","4","1","6","32","6",28.3,5.3,".252",".485",".310","0.795",".342",".294",37.5,11.1,36.1,"97.789840556","92.926224583",27.8,52.5,,"-1"
"Vavra, Terrin","679631","2022","25","89","103","23","19","2","1","1","19","12",18.4,11.7,".258",".337",".340","0.677",".303",".321",37.5,1.4,23.6,"96.135936571","92.201115217",23.2,49.6,,
"Canó, Robinson","429664","2022","39","100","104","15","13","1","0","1","25","4",24,3.8,".150",".190",".183","0.373",".169",".237",29.3,4,41.3,"100.261988108","94.247323243",24.9,56.8,,
"Lux, Gavin","666158","2022","24","421","471","116","83","20","7","6","95","47",20.2,10,".276",".399",".346","0.745",".328",".314",34,6.1,39.8,"98.887037439","93.675126098",23.3,42.6,,"-2"
"Peralta, David","444482","2022","34","439","490","110","65","30","3","12","114","41",23.3,8.4,".251",".415",".316","0.731",".315",".313",35,8.5,44.4,"101.233296566","94.9223429",26.2,50.4,,"5"
"Garcia, Aramis","605244","2022","29","108","115","23","20","2","0","1","34","3",29.6,2.6,".213",".259",".248","0.507",".228",".247",35.5,2.6,36.8,"98.567163784","93.291404595",30.8,52.1,"84.7",
"Vázquez, Christian","543877","2022","31","398","426","109","77","23","0","9","69","22",16.2,5.2,".274",".399",".315","0.714",".312",".301",36.1,5.1,36.4,"97.833724337","92.999999849",17.2,49.2,"80.4",
"Bolt, Skye","621450","2022","28","106","116","21","15","2","0","4","30","7",25.9,6,".198",".330",".259","0.589",".261",".261",29.9,5.2,35.1,"98.380471053","93.373823467",28.5,47.2,,"2"
"Huff, Sam","669087","2022","24","121","132","29","21","4","0","4","42","11",31.8,8.3,".240",".372",".303","0.675",".296",".294",35.4,10.1,36.7,"99.99883625","94.152076329",39,53.3,"88.1",
"Ramírez, Harold","623912","2022","27","403","435","121","91","24","0","6","72","19",16.6,4.4,".300",".404",".343","0.747",".327",".310",32.2,4.8,41.2,"101.050881737","94.664812126",25.5,56.4,,"2"
"Allen, Greg","656185","2022","29","118","134","22","16","4","0","2","42","10",31.3,7.5,".186",".271",".260","0.531",".242",".229",25,2.5,32.5,"97.13406027","92.677602568",30.2,46.1,,"2"
"Melendez Jr., MJ","669004","2022","23","460","534","100","58","21","3","18","131","66",24.5,12.4,".217",".393",".313","0.706",".310",".332",31,10.4,43.5,"100.595888323","94.716383713",27.8,44.6,"83","-2"
"Williams, Luke","663897","2022","25","127","136","30","23","5","1","1","44","9",32.4,6.6,".236",".315",".287","0.602",".265",".233",36.1,3.6,22.9,"94.44903675","91.478494625",29.9,50.7,,"0"
"Miller, Owen","680911","2022","25","424","472","103","70","26","1","6","93","32",19.7,6.8,".243",".351",".301","0.652",".287",".291",35,3.5,31.2,"97.306117941","92.667096401",18.5,48,,
"Romine, Austin","519222","2022","33","129","136","20","14","3","0","3","46","4",33.8,2.9,".155",".248",".187","0.435",".193",".195",22.4,4.7,33.3,"98.519493659","93.285298415",33.5,53.9,"81.4",
"Perdomo, Geraldo","672695","2022","22","431","500","84","67","10","2","5","103","50",20.6,10,".195",".262",".285","0.547",".253",".269",28.1,2,25.1,"95.305189236","91.661910605",18.3,41.3,,
"Trejo, Alan","676701","2022","26","118","125","32","22","6","0","4","31","5",24.8,4,".271",".424",".312","0.736",".321",".291",37.9,4.6,31.4,"96.419990698","92.215872674",25,52.6,,
"Acuña Jr., Ronald","660670","2022","24","467","533","124","85","24","0","15","126","53",23.6,9.9,".266",".413",".351","0.764",".335",".365",32.8,12.8,49.7,"103.759318129","96.440064282",24.9,47.9,,"-7"
"Barrero, Jose","676480","2022","24","165","174","25","20","3","0","2","76","9",43.7,5.2,".152",".206",".195","0.401",".183",".180",33.7,2.2,35.2,"98.193362727","93.242532414",38.5,57.4,,
"Santana, Carlos","467793","2022","36","431","506","87","50","18","0","19","88","71",17.4,14,".202",".376",".316","0.692",".308",".352",31.6,9.3,44.9,"100.993708488","94.851060233",21.3,42.6,,
"Pérez, Michael","605421","2022","29","121","132","18","12","0","0","6","32","10",24.2,7.6,".149",".298",".214","0.512",".228",".276",35.6,7.8,36.7,"98.192780667","93.304814719",28.4,44.3,"83.5",
"Castro, Harold","605612","2022","28","420","443","114","84","21","2","7","79","17",17.8,3.8,".271",".381",".300","0.681",".297",".316",41.6,6.1,33.3,"97.109259586","92.622759201",19.8,53.7,,
"Langeliers, Shea","669127","2022","24","142","153","31","14","10","1","6","53","9",34.6,5.9,".218",".430",".261","0.691",".296",".259",42.9,9.9,38.5,"99.086486739","93.605224725",42.7,54.2,"86.9",
"Ruiz, Keibert","660688","2022","23","394","433","99","70","22","0","7","50","30",11.5,6.9,".251",".360",".313","0.673",".299",".328",36.3,3.7,32.3,"97.283247895","92.718755058",14.9,50.9,"79",
"Hernández, Teoscar","606192","2022","29","499","535","133","72","35","1","25","152","34",28.4,6.4,".267",".491",".316","0.807",".348",".351",36.3,15,53.3,"103.420419483","96.496717867",35.1,48.8,,"-4"
"Hall, Darick","669742","2022","26","136","142","34","16","8","1","9","44","5",31,3.5,".250",".522",".282","0.804",".343",".312",37,17.4,44.6,"101.637107174","95.146168043",33.7,52.5,,
"Brosseau, Mike","670712","2022","28","141","160","36","25","5","0","6","48","14",30,8.8,".255",".418",".344","0.762",".338",".300",34.4,8.6,41.9,"98.509374894","93.686113441",31.1,46.9,,
"Mercado, Óscar","640458","2022","27","121","128","25","14","6","1","4","29","5",22.7,3.9,".207",".372",".242","0.614",".266",".258",33.3,6.5,29,"96.400118085","92.245220968",26.6,56.7,,"-3"
"Palacios, Richie","680700","2022","25","112","123","26","20","6","0","0","20","9",16.3,7.3,".232",".286",".293","0.579",".258",".277",26.9,1.1,21.5,"95.27551","91.693951209",16.6,48.1,,"-1"
"Carpenter, Matt","572761","2022","36","128","154","39","15","9","0","15","35","19",22.7,12.3,".305",".727",".412","1.139",".472",".360",41.1,13.7,42.1,"99.672980435","94.162418352",23.7,41.4,,"0"
"Meyers, Jake","676694","2022","26","150","160","34","25","6","2","1","54","7",33.8,4.4,".227",".313",".269","0.582",".258",".251",30.9,5.2,37.1,"98.54444","93.291333191",31.2,47.4,,"7"
"Yastrzemski, Mike","573262","2022","31","485","558","104","54","31","2","17","141","61",25.3,10.9,".214",".392",".305","0.697",".307",".314",36.2,11.1,42.5,"99.830966069","94.251098237",22.5,42.9,,"2"
"Mateo, Jorge","622761","2022","27","494","533","109","64","25","7","13","147","27",27.6,5.1,".221",".379",".267","0.646",".281",".272",35.5,6,32.7,"98.63578407","93.337279593",30.9,53.9,,
"Ozuna, Marcell","542303","2022","31","470","507","106","64","19","0","23","122","31",24.1,6.1,".226",".413",".274","0.687",".298",".334",31.8,13.1,43.8,"101.775141886","95.035047714",28.7,49.4,,"-3"
"Suárez, Eugenio","553993","2022","30","543","629","128","71","24","2","31","196","73",31.2,11.6,".236",".459",".332","0.791",".344",".339",36.4,14.8,43.5,"100.691818466","94.681885812",33.1,41.8,,
"O'Hearn, Ryan","656811","2022","28","134","145","32","24","6","1","1","35","8",24.1,5.5,".239",".321",".290","0.611",".272",".330",38,7,48,"102.062682041","95.76288949",24.1,49.4,,
"Renfroe, Hunter","592669","2022","30","474","522","121","68","23","1","29","121","39",23.2,7.5,".255",".492",".315","0.807",".347",".323",32.7,10.9,43.6,"101.645981292","95.173188394",27,47.8,,"-2"
"Garlick, Kyle","664247","2022","30","150","162","35","23","3","0","9","48","8",29.6,4.9,".233",".433",".284","0.717",".311",".305",36.9,9.7,47.6,"101.399865577","95.232580777",35.2,48.7,,"-3"
"Kelenic, Jarred","672284","2022","22","163","181","23","10","5","1","7","61","16",33.7,8.8,".141",".313",".221","0.534",".238",".271",27.2,13.6,35,"99.0507575","93.58765835",33.3,48.5,,"1"
"Leblanc, Charles","641779","2022","26","156","169","41","27","10","0","4","53","12",31.4,7.1,".263",".404",".320","0.724",".318",".285",36.9,8.7,32,"98.569849412","93.395520588",25.5,44.3,,
"Bellinger, Cody","641355","2022","26","504","550","106","57","27","3","19","150","38",27.3,6.9,".210",".389",".265","0.654",".284",".278",34.4,8.3,38.1,"98.149983833","93.243694234",27.2,49.9,,"7"
"Andujar, Miguel","609280","2022","27","132","140","31","24","5","1","1","27","5",19.3,3.6,".235",".311",".257","0.568",".247",".281",34.3,3.7,31.5,"97.706368148","92.953611028",23.4,51.9,,"1"
"Grissom, Vaughn","687093","2022","21","141","156","41","30","6","0","5","34","11",21.8,7.1,".291",".440",".353","0.793",".345",".326",35.2,7.4,34.3,"97.006606667","92.504939352",25.6,51.9,,
"Rizzo, Anthony","519203","2022","32","465","548","104","50","21","1","32","101","58",18.4,10.6,".224",".480",".338","0.818",".352",".349",34.2,10.9,41,"99.618112951","94.120579288",22.8,46.1,,
"Rodríguez, Julio","677594","2022","21","511","560","145","89","25","3","28","145","40",25.9,7.1,".284",".509",".345","0.854",".366",".337",32.7,13.1,50.7,"103.718795769","96.379006446",30.4,50.2,,"9"
"Phillips, Brett","621433","2022","28","201","225","29","18","6","0","5","94","16",41.8,7.1,".144",".249",".217","0.466",".213",".220",32.1,4.5,29.5,"97.432571887","92.851488396",38.2,44.5,,"11"
"Cabrera, Oswaldo","665828","2022","23","154","171","38","23","8","1","6","44","15",25.7,8.8,".247",".429",".312","0.741",".322",".287",41.1,6.3,34.8,"97.586874909","92.793437455",26.9,52.4,,"0"
"Bruján, Vidal","660644","2022","24","147","162","24","16","5","0","3","37","12",22.8,7.4,".163",".259",".228","0.487",".220",".233",30.4,2.7,27.7,"96.400896071","92.213595893",20.7,50.5,,
"Suzuki, Kurt","435559","2022","38","139","159","25","17","4","0","4","29","15",18.2,9.4,".180",".295",".266","0.561",".254",".255",31,3.5,26.5,"95.157941429","91.58600375",21.1,48.1,"80.2",
"Hummel, Cooper","669450","2022","27","176","201","31","17","8","3","3","64","23",31.8,11.4,".176",".307",".274","0.581",".262",".292",30.1,7.1,35.4,"99.536416429","93.823074324",27.5,40.9,"82.2","-1"
"Burger, Jake","669394","2022","26","168","183","42","24","9","1","8","56","10",30.6,5.5,".250",".458",".302","0.760",".327",".318",33.3,14.9,43,"102.65301125","95.597171532",35.4,53.8,,
"Canha, Mark","592192","2022","33","462","542","123","86","24","0","13","97","48",17.9,8.9,".266",".403",".367","0.770",".343",".323",32.2,4.9,36.6,"98.317698315","93.261380654",22.1,42.9,,"-1"
"Nevin, Tyler","663527","2022","25","157","184","31","25","4","0","2","46","20",25,10.9,".197",".261",".299","0.560",".261",".293",34.2,3.5,37.7,"98.356865263","93.376842655",26.8,45.6,,
"Thomas, Lane","657041","2022","26","498","548","120","75","26","2","17","132","41",24.1,7.5,".241",".404",".301","0.705",".308",".286",32.6,6.5,34.5,"98.449522283","93.255458474",21.1,44.1,,"-3"
"Montero, Elehuris","660707","2022","23","176","185","41","19","15","1","6","60","8",32.4,4.3,".233",".432",".270","0.702",".303",".260",34.5,8.6,39.7,"100.524698276","94.381819741",35.5,52.2,,
"McKinstry, Zach","656716","2022","27","166","185","33","19","6","3","5","52","16",28.1,8.6,".199",".361",".273","0.634",".280",".288",41.4,4.3,30.2,"96.760488421","92.451668761",21.1,46.6,,
"Thompson, Bubba","669352","2022","24","170","181","45","39","5","0","1","56","7",30.9,3.9,".265",".312",".302","0.614",".274",".203",21.6,1.7,21.6,"95.6266222","91.8214983",31.6,58.7,,"1"
"Escobar, Eduardo","500871","2022","33","495","542","119","69","26","4","20","129","40",23.8,7.4,".240",".430",".295","0.725",".311",".314",38.7,9.4,37.6,"99.290072903","93.799689784",27.7,52.4,,
"Gurriel Jr., Lourdes","666971","2022","28","453","493","132","94","32","1","5","83","31",16.8,6.3,".291",".400",".343","0.743",".327",".321",34.7,3.8,45.7,"100.376795914","94.662022446",21.3,48.7,,"-2"
"Cave, Jake","595909","2022","29","164","177","35","20","7","3","5","49","11",27.7,6.2,".213",".384",".260","0.644",".278",".285",38.5,10.3,42.7,"99.526718814","94.448232906",35,50.7,,"-1"
