"last_name, first_name","player_id","year","player_age","ab","pa","hit","single","double","triple","home_run","strikeout","walk","k_percent","bb_percent","batting_avg","slg_percent","on_base_percent","on_base_plus_slg","woba","xwoba","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","whiff_percent","swing_percent","maxeff_arm_2b_3b_sba","n_outs_above_average"
"Murphy, Sean","669221","2022","27","537","612","134","77","37","2","18","124","56",20.3,9.2,".250",".426",".332","0.758",".331",".344",34.7,10.5,41.4,"101.085158756","94.706891435",24,49.3,"86.1",
"Springer III, George","543807","2022","32","513","583","137","86","22","4","25","100","54",17.2,9.3,".267",".472",".342","0.814",".352",".342",31.8,8.4,42.3,"101.320507081","94.768491799",28.2,50.9,,"2"
"Vaughn, Andrew","683734","2022","24","510","555","138","92","28","1","17","96","31",17.3,5.6,".271",".429",".321","0.750",".327",".319",34.1,7.9,48.6,"101.162950291","95.12858284",21,47,,"-17"
"Rivas III, Alfonso","663845","2022","25","251","287","59","49","5","2","3","87","29",30.3,10.1,".235",".307",".322","0.629",".285",".284",34.7,4.2,35.3,"98.449898395","93.317647826",26.2,42,,
"Smith, Josh","669701","2022","24","213","253","42","35","5","0","2","50","28",19.8,11.1,".197",".249",".307","0.556",".262",".296",34.5,2.4,28.6,"96.124871098","92.093542209",23.4,41.1,,"1"
"Wade Jr., LaMonte","664774","2022","28","217","251","45","29","7","1","8","51","26",20.3,10.4,".207",".359",".305","0.664",".298",".319",33.7,9.5,34.3,"98.05927131","93.112804491",17.8,44.8,,"-2"
"Hoerner, Nico","663538","2022","25","481","517","135","98","22","5","10","57","28",11,5.4,".281",".410",".327","0.737",".320",".301",32.4,2.6,33.5,"97.678971875","92.920531108",14.2,49.2,,
"Almora Jr., Albert","546991","2022","28","215","235","48","32","10","1","5","46","17",19.6,7.2,".223",".349",".282","0.631",".279",".270",29.8,1.8,25.4,"95.828660964","91.938692242",23.6,51.5,,"6"
"Merrifield, Whit","593160","2022","33","504","550","126","86","28","1","11","85","38",15.5,6.9,".250",".375",".298","0.673",".294",".288",37.9,4.2,31.1,"96.383459857","92.27510481",19.4,50.9,,"2"
"Ohtani, Shohei","660271","2022","27","586","666","160","90","30","6","34","161","72",24.2,10.8,".273",".519",".356","0.875",".370",".383",35,16.8,49.8,"103.823624272","96.520363788",28.1,49.3,,
"Flores, Wilmer","527038","2022","30","525","602","120","72","28","1","19","103","59",17.1,9.8,".229",".394",".316","0.710",".312",".310",35.7,6.3,35.4,"97.672013814","92.963528089",18.9,45.6,,
"Pache, Cristian","665506","2022","23","241","260","40","30","5","2","3","70","15",26.9,5.8,".166",".241",".218","0.459",".207",".259",25.3,3.4,40.8,"100.207713059","94.45821355",30.2,50.5,,"7"
"Jansen, Danny","643376","2022","27","215","248","56","31","10","0","15","44","25",17.7,10.1,".260",".516",".339","0.855",".364",".366",34.7,13.1,46.6,"101.172294886","95.039463314",21.8,45.3,"82.2",
"Arozarena, Randy","668227","2022","27","586","645","154","90","41","3","20","156","46",24.2,7.1,".263",".445",".327","0.772",".336",".301",28.2,7.9,41,"101.17822","94.772195116",28.6,46.1,,"0"
"Duffy, Matt","622110","2022","31","228","247","57","47","8","0","2","50","17",20.2,6.9,".250",".311",".308","0.619",".279",".280",38.8,2.8,25.8,"96.07908618","92.086828814",21.8,45.7,,
"Moustakas, Mike","519058","2022","33","252","285","54","35","12","0","7","75","24",26.3,8.4,".214",".345",".295","0.640",".286",".270",36.1,6.1,33.9,"98.852222556","93.461727111",29.2,54.3,,
"Castro, Rodolfo","666801","2022","23","253","277","59","36","8","4","11","74","22",26.7,7.9,".233",".427",".296","0.723",".314",".280",25.6,6.7,35,"99.31755","93.717343409",32.6,47.5,,
"Kemp, Tony","643393","2022","30","497","558","117","84","24","2","7","69","45",12.4,8.1,".235",".334",".307","0.641",".287",".267",33.9,1.6,14.9,"93.050155144","90.545713639",13.1,48.9,,"-2"
"Higashioka, Kyle","543309","2022","32","229","248","52","35","7","0","10","52","12",21,4.8,".227",".389",".264","0.653",".282",".317",36.6,9.8,48.1,"101.231678333","95.189627056",26.8,50.6,"80.1",
"Isbel, Kyle","664728","2022","25","256","278","54","35","10","4","5","75","16",27,5.8,".211",".340",".264","0.604",".265",".266",30.4,4.9,44.6,"100.466422667","94.564799889",21.9,46.3,,"11"
"Madrigal, Nick","663611","2022","25","209","228","52","45","7","0","0","27","14",11.8,6.1,".249",".282",".305","0.587",".267",".283",26.6,0,24.6,"94.969870795","91.48588483",10.3,44.5,,
"Altuve, Jose","514888","2022","32","527","604","158","91","39","0","28","87","66",14.4,10.9,".300",".533",".387","0.920",".397",".354",35.4,7.7,29.7,"97.300246419","92.671072541",16.2,44.3,,
"Longoria, Evan","446334","2022","36","266","298","65","38","13","0","14","83","27",27.9,9.1,".244",".451",".315","0.766",".330",".324",33.3,12.4,46.8,"101.592486559","95.291511667",29.4,44.4,,
"Vargas, Ildemaro","545121","2022","30","209","222","55","37","13","1","4","23","8",10.4,3.6,".263",".392",".299","0.691",".302",".255",28.2,2.1,29.3,"96.943626739","92.531312459",11.6,47.7,,
"Crawford, J.P.","641487","2022","27","518","603","126","93","24","3","6","80","68",13.3,11.3,".243",".336",".339","0.675",".306",".315",32.4,2,29.7,"96.663647706","92.35483867",14.3,41.3,,
