Tm,W,L,W-L%,GB,RS,RA,pythW-L%
NYM,101,61,.623,--,772,606,.609
ATL,101,61,.623,--,789,609,.616
PHI,87,75,.537,14.0,747,685,.540
MIA,69,93,.426,32.0,586,676,.435
WSN,55,107,.340,46.0,603,855,.345
