Tm,W,L,W-L%,GB,RS,RA,pythW-L%
STL,93,69,.574,--,772,637,.587
MIL,86,76,.531,7.0,725,688,.524
CHC,74,88,.457,19.0,657,731,.451
PIT,62,100,.383,31.0,591,817,.356
CIN,62,100,.383,31.0,648,815,.397
