Tm,W,L,W-L%,GB,RS,RA,pythW-L%
NYY,99,63,.611,--,807,567,.656
TOR,92,70,.568,7.0,775,679,.560
TBR,86,76,.531,13.0,666,614,.537
BAL,83,79,.512,16.0,674,688,.491
BOS,78,84,.481,21.0,735,787,.469
