Tm,W,L,W-L%,GB,RS,RA,pythW-L%
CLE,92,70,.568,--,698,634,.544
CHW,81,81,.500,11.0,686,717,.480
MIN,78,84,.481,14.0,696,684,.508
DET,66,96,.407,26.0,557,713,.389
KCR,65,97,.401,27.0,640,810,.394
