Tm,W,L,W-L%,GB,RS,RA,pythW-L%
LAD,111,51,.685,--,847,513,.715
SDP,89,73,.549,22.0,705,660,.530
SFG,81,81,.500,30.0,716,697,.512
ARI,74,88,.457,37.0,702,740,.476
COL,68,94,.420,43.0,698,873,.399
